,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,LP5_c1_surpass_rade,LP5_makespan,LP5_makespan_c1,LP5_makespan_c2,LP5_workload_rade,LP6_c1_surpass_rade,LP6_makespan,LP6_makespan_c1,LP6_makespan_c2,LP6_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_369,0.0,1089658.0,661618.0,1089658.0,98.8933021372834,0.0,1136006.0,661618.0,1136006.0,99.4096761335404,3.816978109363052,1148114.0,687874.0,1148114.0,99.34058507438117,0.0,1089658.0,661618.0,1089658.0,98.8933021372834,4.7935763314290645,1158271.0,694930.0,1158271.0,99.6320945626683,3.816978109363052,687874.0,1161202.0,99.32088977512932,0.0,1089658.0,661618.0,1089658.0,98.8933021372834
new_370,0.0,913475.0,555826.0,913475.0,99.99994123837767,4.147107819974684,953842.0,579874.0,953842.0,99.99837673558,4.147107819974684,956026.0,579874.0,956026.0,99.99878071048734,0.0,913476.0,555826.0,913476.0,99.99994123837767,3.420941975347255,951851.0,575514.0,951851.0,99.98042518294524,4.147107819974684,579874.0,953842.0,99.94997112758853,0.0,905002.0,555826.0,905002.0,99.99026854768908
new_371,0.0,674058.0,390490.0,674058.0,92.3397285024552,0.0,674058.0,390490.0,674058.0,92.3397285024552,0.0,674058.0,390490.0,674058.0,92.3397285024552,0.0,674058.0,390490.0,674058.0,92.3397285024552,0.0,674058.0,390490.0,674058.0,92.3397285024552,0.0,390490.0,674058.0,92.3397285024552,0.0,674058.0,390490.0,674058.0,92.3397285024552
new_372,0.0,1012347.0,574058.0,1012347.0,97.66565725806387,0.0,1012347.0,574058.0,1012347.0,97.4888699260064,0.0,1012347.0,574058.0,1012347.0,97.4888699260064,0.0,1012347.0,574058.0,1012347.0,97.66565725806387,0.0,1012347.0,574058.0,1012347.0,97.698154291306,0.0,574058.0,1012347.0,97.4888699260064,0.0,1012347.0,574058.0,1012347.0,97.66565725806387
new_373,0.0,880362.0,497594.0,880362.0,98.64244321210992,0.0,880362.0,497594.0,880362.0,98.64244321210992,1.7451503854416783,880362.0,506432.0,880362.0,98.68892704811296,0.0,880362.0,497594.0,880362.0,98.64244321210992,0.0,880362.0,497594.0,880362.0,98.96860950326868,6.815159948013618,533986.0,789426.0,98.63048545292769,0.0,860362.0,497594.0,860362.0,93.50749150198702
new_374,0.0,825822.0,390490.0,825822.0,89.70230836186369,20.387775489816303,782058.0,490490.0,782058.0,92.81384119393884,0.0,825822.0,390490.0,825822.0,89.70230836186369,0.0,825822.0,390490.0,825822.0,89.70230836186369,0.0,782130.0,390490.0,782130.0,91.957300573111,20.387775489816303,490490.0,779302.0,96.39251866605802,0.0,826046.0,390490.0,826046.0,89.75633751982384
new_375,0.0,775126.0,555826.0,775126.0,99.62232543719664,2.1367626707420566,820218.0,567962.0,820218.0,99.7766791030259,6.145034429888994,751690.0,592218.0,751690.0,99.03511942421066,0.0,775126.0,555826.0,775126.0,99.62232543719664,6.145034429888994,783826.0,592218.0,783826.0,99.65643846419954,16.29807214473522,664054.0,700978.0,96.85231243447188,0.0,775126.0,555826.0,775126.0,99.62232543719664
new_376,0.0,560958.0,560958.0,528894.0,87.05005887804913,7.440310205428595,606050.0,606050.0,437958.0,87.98142474299998,0.0,560958.0,560958.0,528894.0,87.05005887804913,0.0,560958.0,560958.0,528894.0,87.05005887804913,0.0,560958.0,560958.0,528894.0,87.05005887804913,7.440310205428595,606050.0,437958.0,87.98142474299998,0.0,560958.0,560958.0,528894.0,87.05005887804913
new_377,0.0,873954.0,574402.0,873954.0,97.7581861790326,0.2181851029604383,885254.0,575658.0,885254.0,99.2707545879424,0.2181851029604383,885254.0,575658.0,885254.0,99.2707545879424,0.0,873954.0,574402.0,873954.0,97.7581861790326,0.0,875211.0,574402.0,875211.0,99.67058341371384,0.2181851029604383,575658.0,885254.0,99.2707545879424,0.0,873954.0,574402.0,873954.0,97.7581861790326
new_378,0.0,876986.0,574058.0,876986.0,97.27634883700516,0.0,876986.0,574058.0,876986.0,97.27634883700516,0.0,876986.0,574058.0,876986.0,97.27634883700516,0.0,876986.0,574058.0,876986.0,97.27634883700516,0.0,876986.0,574058.0,876986.0,97.27634883700516,0.0,574058.0,876986.0,97.27634883700516,0.0,876986.0,574058.0,876986.0,97.27634883700516
new_379,0.0,657142.0,494766.0,657142.0,97.335170606387,13.514241065029594,643074.0,572078.0,643074.0,98.53377071229863,0.0,657142.0,494766.0,657142.0,97.18451858236364,0.0,657142.0,494766.0,657142.0,97.335170606387,0.0,657142.0,494766.0,657142.0,97.52678003985856,13.514241065029594,572078.0,643074.0,98.53377071229863,0.0,657142.0,494766.0,657142.0,97.335170606387
new_380,0.0,933034.0,586498.0,933034.0,94.44576892678953,0.0,1021754.0,586498.0,1021754.0,92.1121444264562,2.004364287695449,1023375.0,598494.0,1023375.0,92.26061278717782,0.0,933034.0,586498.0,933034.0,94.44576892678953,0.0,929043.0,586498.0,929043.0,94.79861064942322,2.004364287695449,598494.0,1023375.0,92.26061278717782,0.0,929043.0,586498.0,929043.0,94.74126701863165
new_381,0.0,590490.0,574058.0,590490.0,88.32126981910282,5.314393726970136,606278.0,606278.0,590490.0,88.21525516086615,3.3666746344633016,594058.0,594058.0,590490.0,88.18128622366943,0.0,590490.0,574058.0,590490.0,88.32126981910282,0.0,590490.0,574058.0,590490.0,88.32126981910282,5.314393726970136,606278.0,590490.0,88.21525516086615,0.0,590490.0,574058.0,590490.0,88.32126981910282
new_382,0.0,964546.0,674058.0,964546.0,97.40936950431056,1.619489924892798,1059474.0,685154.0,1059474.0,96.96560385614652,0.5887471425411105,1065559.0,678050.0,1065559.0,96.87017704927166,0.0,964546.0,674058.0,964546.0,97.40936950431056,0.0,934682.0,674058.0,934682.0,98.43947938542873,0.5887471425411105,678050.0,1065559.0,96.87017704927166,0.0,964546.0,674058.0,964546.0,97.40936950431056
new_383,0.0,829282.0,535602.0,829282.0,95.43117186390376,11.695227669164998,965394.0,606538.0,965394.0,99.99993574466473,4.592918241637661,906090.0,561386.0,906090.0,99.0073003880231,0.0,829282.0,535602.0,829282.0,95.43117186390376,2.9695974956249525,915963.0,551994.0,915963.0,99.24919317262815,16.138436823794297,638674.0,962626.0,99.99993574466473,0.0,829282.0,535602.0,829282.0,95.43117186390376
new_384,0.0,1015279.0,661618.0,1015279.0,97.1890800925077,0.0,1015279.0,661618.0,1015279.0,97.1890800925077,2.423420101762407,1045506.0,678050.0,1045506.0,98.72917609395506,0.0,1015279.0,661618.0,1015279.0,97.1890800925077,2.423420101762407,1045506.0,678050.0,1045506.0,98.72917609395506,2.423420101762407,678050.0,1045506.0,98.72917609395506,0.0,1015279.0,661618.0,1015279.0,97.1890800925077
