,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
32,1014576.0,914249.0,1014576.0,1131781.0,869074.0,1131781.0,1014576.0,914249.0,1014576.0,1014576.0,914249.0,1014576.0,1014576.0,914249.0,1014576.0,1014576.0,914249.0,1014576.0
33,998826.0,918823.0,998826.0,1045716.0,875004.0,1045716.0,998826.0,918823.0,998826.0,998826.0,918823.0,998826.0,998826.0,918823.0,998826.0,998826.0,918823.0,998826.0
34,912486.0,822649.0,912486.0,917222.0,747133.0,917222.0,912486.0,822649.0,912486.0,912486.0,822649.0,912486.0,912486.0,822649.0,912486.0,912486.0,822649.0,912486.0
35,941054.0,905650.0,941054.0,996403.0,826890.0,996403.0,941054.0,905650.0,941054.0,941054.0,905650.0,941054.0,941054.0,905650.0,941054.0,941054.0,905650.0,941054.0
36,955961.0,868616.0,955961.0,1077726.0,825429.0,1077726.0,955961.0,868616.0,955961.0,955961.0,868616.0,955961.0,955961.0,868616.0,955961.0,955961.0,868616.0,955961.0
37,952239.0,828375.0,952239.0,973682.0,745722.0,973682.0,952239.0,828375.0,952239.0,952239.0,828375.0,952239.0,952239.0,828375.0,952239.0,952239.0,828375.0,952239.0
38,1027030.0,843380.0,1027030.0,1032664.0,784259.0,1032664.0,1027030.0,843380.0,1027030.0,1027030.0,843380.0,1027030.0,1027030.0,843380.0,1027030.0,1027030.0,843380.0,1027030.0
39,1005509.0,878155.0,1005509.0,992983.0,834543.0,992983.0,1005509.0,878155.0,1005509.0,1005509.0,878155.0,1005509.0,1005509.0,878155.0,1005509.0,1005509.0,878155.0,1005509.0
40,970930.0,946251.0,970930.0,1075250.0,898632.0,1075250.0,970930.0,946251.0,970930.0,970930.0,946251.0,970930.0,970930.0,946251.0,970930.0,970930.0,946251.0,970930.0
41,961458.0,886832.0,961458.0,966830.0,823894.0,966830.0,961458.0,886832.0,961458.0,961458.0,886832.0,961458.0,961458.0,886832.0,961458.0,961458.0,886832.0,961458.0
42,950820.0,815586.0,950820.0,992735.0,790941.0,992735.0,950820.0,815586.0,950820.0,950820.0,815586.0,950820.0,950820.0,815586.0,950820.0,950820.0,815586.0,950820.0
43,940249.0,856299.0,940249.0,961358.0,814272.0,961358.0,940249.0,856299.0,940249.0,940249.0,856299.0,940249.0,940249.0,856299.0,940249.0,940249.0,856299.0,940249.0
44,994200.0,888920.0,994200.0,1097229.0,847966.0,1097229.0,994200.0,888920.0,994200.0,994200.0,888920.0,994200.0,994200.0,888920.0,994200.0,994200.0,888920.0,994200.0
45,928312.0,898116.0,928312.0,930329.0,836489.0,930329.0,928312.0,898116.0,928312.0,928312.0,898116.0,928312.0,928312.0,898116.0,928312.0,928312.0,898116.0,928312.0
46,924972.0,849806.0,924972.0,1052874.0,820980.0,1052874.0,924972.0,849806.0,924972.0,924972.0,849806.0,924972.0,924972.0,849806.0,924972.0,924972.0,849806.0,924972.0
47,962628.0,888944.0,962628.0,997684.0,874958.0,997684.0,962628.0,888944.0,962628.0,962628.0,888944.0,962628.0,962628.0,888944.0,962628.0,962628.0,888944.0,962628.0
48,995546.0,868749.0,995546.0,1039101.0,805311.0,1039101.0,995546.0,868749.0,995546.0,995546.0,868749.0,995546.0,995546.0,868749.0,995546.0,995546.0,868749.0,995546.0
49,912146.0,894354.0,912146.0,1207174.0,825456.0,1207174.0,912146.0,894354.0,912146.0,912146.0,894354.0,912146.0,912146.0,894354.0,912146.0,912146.0,894354.0,912146.0
50,1000671.0,845833.0,1000671.0,1085135.0,774464.0,1085135.0,1000671.0,845833.0,1000671.0,1000671.0,845833.0,1000671.0,1000671.0,845833.0,1000671.0,1000671.0,845833.0,1000671.0
51,977447.0,840955.0,977447.0,1048017.0,765896.0,1048017.0,977447.0,840955.0,977447.0,977447.0,840955.0,977447.0,977447.0,840955.0,977447.0,977447.0,840955.0,977447.0
52,1008817.0,905844.0,1008817.0,1012468.0,865537.0,1012468.0,1008817.0,905844.0,1008817.0,1008817.0,905844.0,1008817.0,1008817.0,905844.0,1008817.0,1008817.0,905844.0,1008817.0
53,985629.0,870002.0,985629.0,1007308.0,803562.0,1007308.0,985629.0,870002.0,985629.0,985629.0,870002.0,985629.0,985629.0,870002.0,985629.0,985629.0,870002.0,985629.0
54,984078.0,857251.0,984078.0,992802.0,790000.0,992802.0,984078.0,857251.0,984078.0,984078.0,857251.0,984078.0,984078.0,857251.0,984078.0,984078.0,857251.0,984078.0
55,945190.0,864180.0,945190.0,946166.0,816994.0,946166.0,945190.0,864180.0,945190.0,945190.0,864180.0,945190.0,945190.0,864180.0,945190.0,945190.0,864180.0,945190.0
56,970578.0,859013.0,970578.0,998505.0,812745.0,998505.0,970578.0,859013.0,970578.0,970578.0,859013.0,970578.0,970578.0,859013.0,970578.0,970578.0,859013.0,970578.0
57,932462.0,841562.0,932462.0,961537.0,803396.0,961537.0,932462.0,841562.0,932462.0,932462.0,841562.0,932462.0,932462.0,841562.0,932462.0,932462.0,841562.0,932462.0
58,935884.0,894229.0,935884.0,964550.0,843672.0,964550.0,935884.0,894229.0,935884.0,935884.0,894229.0,935884.0,935884.0,894229.0,935884.0,935884.0,894229.0,935884.0
59,947660.0,904760.0,947660.0,1162543.0,829368.0,1162543.0,947660.0,904760.0,947660.0,947660.0,904760.0,947660.0,947660.0,904760.0,947660.0,947660.0,904760.0,947660.0
60,960219.0,863232.0,960219.0,1019860.0,810866.0,1019860.0,960219.0,863232.0,960219.0,960219.0,863232.0,960219.0,960219.0,863232.0,960219.0,960219.0,863232.0,960219.0
61,935711.0,814793.0,935711.0,973452.0,717774.0,973452.0,935711.0,814793.0,935711.0,935711.0,814793.0,935711.0,935711.0,814793.0,935711.0,935711.0,814793.0,935711.0
62,978747.0,812319.0,978747.0,1006714.0,747793.0,1006714.0,978747.0,812319.0,978747.0,978747.0,812319.0,978747.0,978747.0,812319.0,978747.0,978747.0,812319.0,978747.0
63,910546.0,858498.0,910546.0,950972.0,783633.0,950972.0,910546.0,858498.0,910546.0,910546.0,858498.0,910546.0,910546.0,858498.0,910546.0,910546.0,858498.0,910546.0
