,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,986330.0,888133.0,986330.0,1031791.0,819821.0,1031791.0,986330.0,888133.0,986330.0,986330.0,888133.0,986330.0,986330.0,888133.0,986330.0,986330.0,888133.0,986330.0
1,992341.0,864361.0,992341.0,1010377.0,807371.0,1010377.0,992341.0,864361.0,992341.0,992341.0,864361.0,992341.0,992341.0,864361.0,992341.0,992341.0,864361.0,992341.0
2,959467.0,915144.0,959467.0,1022255.0,867114.0,1022255.0,959467.0,915144.0,959467.0,959467.0,915144.0,959467.0,959467.0,915144.0,959467.0,959467.0,915144.0,959467.0
3,966818.0,839911.0,966818.0,974036.0,789346.0,974036.0,966818.0,839911.0,966818.0,966818.0,839911.0,966818.0,966818.0,839911.0,966818.0,966818.0,839911.0,966818.0
4,991061.0,907643.0,991061.0,1009826.0,840281.0,1009826.0,991061.0,907643.0,991061.0,991061.0,907643.0,991061.0,991061.0,907643.0,991061.0,991061.0,907643.0,991061.0
5,942644.0,892483.0,942644.0,1007369.0,814017.0,1007369.0,942644.0,892483.0,942644.0,942644.0,892483.0,942644.0,942644.0,892483.0,942644.0,942644.0,892483.0,942644.0
6,963917.0,900045.0,963917.0,1015744.0,868790.0,1015744.0,963917.0,900045.0,963917.0,963917.0,900045.0,963917.0,963917.0,900045.0,963917.0,963917.0,900045.0,963917.0
7,934409.0,729432.0,934409.0,928662.0,680119.0,928662.0,934409.0,729432.0,934409.0,934409.0,729432.0,934409.0,934409.0,729432.0,934409.0,934409.0,729432.0,934409.0
8,943809.0,866651.0,943809.0,1000311.0,829454.0,1000311.0,943809.0,866651.0,943809.0,943809.0,866651.0,943809.0,943809.0,866651.0,943809.0,943809.0,866651.0,943809.0
9,1036357.0,829815.0,1036357.0,1033537.0,761653.0,1033537.0,1036357.0,829815.0,1036357.0,1036357.0,829815.0,1036357.0,1036357.0,829815.0,1036357.0,1036357.0,829815.0,1036357.0
10,926369.0,847532.0,926369.0,938051.0,791936.0,938051.0,926369.0,847532.0,926369.0,926369.0,847532.0,926369.0,926369.0,847532.0,926369.0,926369.0,847532.0,926369.0
11,948377.0,879482.0,948377.0,985683.0,838252.0,985683.0,948377.0,879482.0,948377.0,948377.0,879482.0,948377.0,948377.0,879482.0,948377.0,948377.0,879482.0,948377.0
12,934861.0,894699.0,934861.0,1023977.0,833757.0,1023977.0,934861.0,894699.0,934861.0,934861.0,894699.0,934861.0,934861.0,894699.0,934861.0,934861.0,894699.0,934861.0
13,940469.0,847408.0,940469.0,1060294.0,817480.0,1060294.0,940469.0,847408.0,940469.0,940469.0,847408.0,940469.0,940469.0,847408.0,940469.0,940469.0,847408.0,940469.0
14,990854.0,766635.0,990854.0,1031689.0,716280.0,1031689.0,990854.0,766635.0,990854.0,990854.0,766635.0,990854.0,990854.0,766635.0,990854.0,990854.0,766635.0,990854.0
15,980151.0,834725.0,980151.0,1146537.0,779180.0,1146537.0,980151.0,834725.0,980151.0,980151.0,834725.0,980151.0,980151.0,834725.0,980151.0,980151.0,834725.0,980151.0
16,937546.0,880733.0,937546.0,978869.0,840691.0,978869.0,937546.0,880733.0,937546.0,937546.0,880733.0,937546.0,937546.0,880733.0,937546.0,937546.0,880733.0,937546.0
17,933724.0,891308.0,933724.0,959622.0,832811.0,959622.0,933724.0,891308.0,933724.0,933724.0,891308.0,933724.0,933724.0,891308.0,933724.0,933724.0,891308.0,933724.0
18,928722.0,906201.0,928722.0,991913.0,851296.0,991913.0,928722.0,906201.0,928722.0,928722.0,906201.0,928722.0,928722.0,906201.0,928722.0,928722.0,906201.0,928722.0
19,879855.0,848011.0,879855.0,929557.0,756547.0,929557.0,879855.0,848011.0,879855.0,879855.0,848011.0,879855.0,879855.0,848011.0,879855.0,879855.0,848011.0,879855.0
20,978334.0,794900.0,978334.0,974952.0,735552.0,974952.0,978334.0,794900.0,978334.0,978334.0,794900.0,978334.0,978334.0,794900.0,978334.0,978334.0,794900.0,978334.0
21,968566.0,889624.0,968566.0,957918.0,831097.0,957918.0,968566.0,889624.0,968566.0,968566.0,889624.0,968566.0,968566.0,889624.0,968566.0,968566.0,889624.0,968566.0
22,986678.0,920533.0,986678.0,980308.0,874466.0,980308.0,986678.0,920533.0,986678.0,986678.0,920533.0,986678.0,986678.0,920533.0,986678.0,986678.0,920533.0,986678.0
