,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,LP5_c1_surpass_rade,LP5_makespan,LP5_makespan_c1,LP5_makespan_c2,LP5_workload_rade,LP6_c1_surpass_rade,LP6_makespan,LP6_makespan_c1,LP6_makespan_c2,LP6_workload_rade,LP7_c1_surpass_rade,LP7_makespan,LP7_makespan_c1,LP7_makespan_c2,LP7_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_132,0,958146,586050,958146,95.77651066,0.64962145,935966,589882,935966,93.74904226,0,958146,586050,958146,95.77651066,0,958146,586050,958146,95.77651066,0,958146,586050,958146,95.77651066,0,958146,586050,958146,95.77651066,12.89568885,672814,710634,99.60924145,0,958146,586050,958146,95.77651066
new_527,0,831390,574058,831390,97.771465,0.690597699,831390,578050,831390,98.26252918,0,831390,574058,831390,97.771465,0,831390,574058,831390,97.771465,0,831390,574058,831390,97.771465,0,831390,574058,831390,97.771465,0.690597699,578050,831390,98.26252918,0,831390,574058,831390,97.771465
new_443,0,1049934,643074,1049934,96.2106272,0.707167716,1141218,647654,1141218,97.40729385,0,1049934,643074,1049934,96.2106272,0,1049934,643074,1049934,96.2106272,0,1049934,643074,1049934,96.2106272,0,1049934,643074,1049934,96.2106272,3.016254596,663074,1147814,98.47863067,0,1049934,643074,1049934,96.2106272
new_406,1.352980699,1050284,651894,1050284,99.05243111,0.707167716,1141218,647654,1141218,99.39640516,0,1049934,643074,1049934,94.48770073,0,1049934,643074,1049934,94.48770073,0,1049934,643074,1049934,94.48770073,0,1049934,643074,1049934,94.48770073,8.208079614,700578,1183970,99.11552813,0,1049934,643074,1049934,94.48770073
new_381,1.726841225,886410,654374,886410,98.2768115,0.707167716,931082,647654,931082,98.61384507,0,876534,643074,876534,93.93414899,0,876534,643074,876534,93.93414899,0,876534,643074,876534,93.93414899,0,876534,643074,876534,93.93414899,3.016254596,663074,934186,98.31179074,0,876534,643074,876534,93.93414899
new_117,0,742990,519858,742990,98.15162168,0.731730604,742990,523690,742990,99.59564876,0,742990,519858,742990,98.15162168,0,742990,519858,742990,98.15162168,0,742990,519858,742990,98.15162168,0,742990,519858,742990,98.15162168,16.64801424,623690,580978,99.38794532,0,742990,519858,742990,98.15162168
new_270,0.731730604,711810,523690,711810,98.87042541,0.731730604,711810,523690,711810,98.87043462,0,733606,519858,733606,97.01306122,0,733606,519858,733606,97.01306122,0,733606,519858,733606,97.01306122,0,733606,519858,733606,97.01306122,14.30281131,606622,710450,99.72216698,0,733606,519858,733606,97.01306122
new_165,1.109125639,1051123,681618,1051123,99.76851385,0.990596385,1042990,680802,1042990,99.80134757,0,1000666,674058,1000666,98.809022,0,1046787,674058,1046787,98.86859928,0,1007395,674058,1007395,99.50153018,0,1064727,674058,1064727,99.46681855,0.588747143,678050,1007395,99.73749569,0,1030550,674058,1030550,98.01287637
new_438,1.099447455,788090,567194,788090,94.57774439,1.099447455,788090,567194,788090,94.57774439,0,779042,560958,779042,94.12635995,0,779042,560958,779042,94.12635995,0,779042,560958,779042,94.12635995,0,779042,560958,779042,94.12635995,12.43158693,640594,802102,93.32973737,0,779042,560958,779042,94.12635995
new_4,1.099447455,845914,567194,845914,94.94075135,1.099447455,845914,567194,845914,94.94075135,0,845914,560958,845914,95.23479543,0,845914,560958,845914,95.23479543,0,845914,560958,845914,95.23479543,0,845914,560958,845914,95.23479543,13.02032779,644930,806090,97.41155411,0,845914,560958,845914,95.23479543
new_171,2.484608076,1028158,566206,1028158,88.03816673,1.141600748,1028810,558514,1028810,87.99929333,0,963931,552138,963931,93.51695639,0,963931,552138,963931,93.51695639,0,963931,552138,963931,93.51695639,0,963931,552138,963931,93.51695639,2.005544532,563438,1022878,88.17429372,0,963931,552138,963931,93.51695639
new_101,0,859474,653834,859474,98.79457174,1.176509708,971914,661618,971914,99.99994116,0,859474,653834,859474,98.79457174,0,859474,653834,859474,98.79457174,0,859474,653834,859474,98.79457174,0,859474,653834,859474,98.79457174,3.291869426,676090,968539,99.99994116,0,859474,653834,859474,98.79457174
new_138,0.714309577,1029266,658538,1029266,97.52780808,1.176509708,1029266,661618,1029266,97.13386695,0,959474,653834,959474,89.72565907,0,959474,653834,959474,89.72565907,0,959474,653834,959474,89.72565907,0,959474,653834,959474,89.72565907,3.291869426,676090,996766,98.85325964,0,959474,653834,959474,89.72565907
new_215,0,653986,523690,653986,97.39468337,1.223739951,606623,530178,606623,99.99992268,0,629814,523690,629814,98.36480463,0,653986,523690,653986,97.39468337,0,629814,523690,629814,98.44906132,0,629814,523690,629814,98.36480463,1.223739951,530178,604123,99.99992268,0,653986,523690,653986,97.39468337
new_33,0,902242,661618,902242,99.98997049,1.260771327,899162,670066,899162,99.94297434,0,902242,661618,902242,99.98997049,0,902242,661618,902242,99.98997049,0,902242,661618,902242,99.98997049,0,902242,661618,902242,99.98997049,2.869214666,681162,921878,99.99993523,0,902242,661618,902242,99.98997049
new_410,0,973710,654230,973710,99.70231347,1.301636248,1064891,662858,1064891,99.99994398,0,973710,654230,973710,99.70231347,0,973710,654230,973710,99.70231347,0,973710,654230,973710,99.70231347,0,973710,654230,973710,99.70231347,1.669527368,665338,1064891,99.99994398,0,973710,654230,973710,99.70231347
new_258,0,989374,654230,989374,92.74308935,1.301636248,991855,662858,991855,92.22207891,0,989374,654230,989374,92.74308935,0,989374,654230,989374,92.74308935,0,989374,654230,989374,92.74308935,0,989374,654230,989374,92.74308935,5.848034009,694866,1019298,97.146337,0,989374,654230,989374,92.74308935
new_122,1.669527368,1104075,665338,1104075,99.79128088,1.301636248,1103518,662858,1103518,99.3666841,0,1003682,654230,1003682,99.26078815,0,1003682,654230,1003682,99.26078815,0,1003682,654230,1003682,99.26078815,0,1003682,654230,1003682,99.26078815,5.848034009,694866,1113387,99.70637129,0,1003682,654230,1003682,99.26078815
new_364,0,495130,472502,495130,90.63407267,1.302591397,478738,478738,404194,90.63407267,0,495130,472502,495130,90.63407267,0,495130,472502,495130,90.63407267,0,495130,472502,495130,90.63407267,0,495130,472502,495130,90.63407267,1.302591397,478738,404194,90.63407267,0,495130,472502,495130,90.63407267
