,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,843736.0,698136.0,843736.0,1154057.0,685018.0,1154057.0,1179948.0,685018.0,1179948.0,0.1
2,821138.0,685441.0,821138.0,1110373.0,663408.0,1110373.0,1138203.0,685668.0,1138203.0,0.1
3,842550.0,709000.0,842550.0,1170444.0,685797.0,1170444.0,900071.0,708786.0,900071.0,0.1
4,839445.0,693957.0,839445.0,1131173.0,670405.0,1131173.0,836257.0,670405.0,836257.0,0.1
5,846706.0,701406.0,846706.0,1118592.0,672900.0,1118592.0,1158305.0,672900.0,1158305.0,0.1
6,837699.0,707642.0,837699.0,1130818.0,686942.0,1130818.0,1173561.0,708768.0,1173561.0,0.1
7,857921.0,717965.0,857921.0,1133536.0,676632.0,1133536.0,1151762.0,694781.0,1151762.0,0.1
8,836284.0,699345.0,836284.0,1144059.0,664150.0,1144059.0,1232379.0,664150.0,1232379.0,0.1
9,833788.0,697584.0,833788.0,1152333.0,670215.0,1152333.0,850699.0,681276.0,850699.0,0.1
10,838174.0,696437.0,838174.0,1127170.0,677823.0,1127170.0,1179446.0,688887.0,1179446.0,0.1
11,825760.0,699106.0,825760.0,1105460.0,668666.0,1105460.0,833101.0,689066.0,833101.0,0.1
12,824441.0,682664.0,824441.0,1111039.0,672274.0,1111039.0,1171432.0,674751.0,1171432.0,0.1
13,834254.0,695701.0,834254.0,1096778.0,672716.0,1096778.0,1214834.0,695786.0,1214834.0,0.1
14,824752.0,676003.0,824752.0,1133265.0,671636.0,1133265.0,1128910.0,676751.0,1128910.0,0.1
15,837610.0,696589.0,837610.0,1137263.0,661863.0,1137263.0,1166105.0,685237.0,1166105.0,0.1
16,831303.0,699725.0,831303.0,1150939.0,669894.0,1150939.0,1193715.0,669894.0,1193715.0,0.1
17,848933.0,698170.0,848933.0,1135720.0,681111.0,1135720.0,846733.0,699470.0,846733.0,0.1
