,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
937,1229690.0,719362.0,1229690.0,1250021.0,714239.0,1250021.0,1212100.0,724987.0,1212100.0,0.1
938,1192727.0,887474.0,1192727.0,1234635.0,711142.0,1234635.0,1210450.0,721025.0,1210450.0,0.1
939,1196660.0,807426.0,1196660.0,1251401.0,716333.0,1251401.0,1192050.0,734177.0,1192050.0,0.1
940,1208804.0,889516.0,1208804.0,1239376.0,715112.0,1239376.0,1243429.0,736968.0,1243429.0,0.1
941,1166535.0,906263.0,1166535.0,1246737.0,716582.0,1246737.0,1240208.0,747481.0,1240208.0,0.1
942,1213757.0,736719.0,1213757.0,1268214.0,729561.0,1268214.0,1223944.0,733005.0,1223944.0,0.1
943,1196603.0,831191.0,1196603.0,1215321.0,718835.0,1215321.0,1217215.0,740656.0,1217215.0,0.1
944,1217777.0,867108.0,1217777.0,1260634.0,713127.0,1260634.0,1226442.0,717021.0,1226442.0,0.1
945,1215340.0,846204.0,1215340.0,1228942.0,712651.0,1228942.0,1231242.0,724706.0,1231242.0,0.1
946,1188306.0,854453.0,1188306.0,1244264.0,714215.0,1244264.0,1264735.0,732975.0,1264735.0,0.1
947,1219582.0,736634.0,1219582.0,1253655.0,719181.0,1253655.0,1214616.0,730670.0,1214616.0,0.1
948,1232138.0,736151.0,1232138.0,1255690.0,717144.0,1255690.0,1219006.0,736398.0,1219006.0,0.1
949,1212994.0,830639.0,1212994.0,1239189.0,729540.0,1239189.0,1244688.0,745294.0,1244688.0,0.1
950,1218720.0,737357.0,1218720.0,1208978.0,730215.0,1208978.0,1212918.0,739409.0,1212918.0,0.1
951,1211311.0,890275.0,1211311.0,1233465.0,724489.0,1233465.0,1253678.0,732178.0,1253678.0,0.1
952,1207376.0,862597.0,1207376.0,1237215.0,709608.0,1237215.0,1214158.0,735738.0,1214158.0,0.1
953,1142200.0,892888.0,1142200.0,1242215.0,705380.0,1242215.0,1207747.0,741942.0,1207747.0,0.1
954,1223861.0,758183.0,1223861.0,1245056.0,721484.0,1245056.0,1199710.0,747864.0,1199710.0,0.1
955,1212200.0,870029.0,1212200.0,1235575.0,714367.0,1235575.0,1219368.0,727650.0,1219368.0,0.1
956,1213948.0,831584.0,1213948.0,1221533.0,703742.0,1221533.0,1256915.0,713923.0,1256915.0,0.1
957,1159878.0,836297.0,1159878.0,1251057.0,705546.0,1251057.0,1219350.0,734543.0,1219350.0,0.1
958,1214498.0,897024.0,1214498.0,1225860.0,714263.0,1225860.0,1209907.0,729920.0,1209907.0,0.1
959,1184736.0,850806.0,1184736.0,1245325.0,727648.0,1245325.0,1207388.0,733500.0,1207388.0,0.1
960,1161744.0,854976.0,1161744.0,1225772.0,729569.0,1225772.0,1203453.0,745212.0,1203453.0,0.1
961,1217069.0,732765.0,1217069.0,1217319.0,719205.0,1217319.0,1229504.0,732903.0,1229504.0,0.1
962,1169134.0,889506.0,1169134.0,1236907.0,701813.0,1236907.0,1217527.0,717342.0,1217527.0,0.1
963,1225216.0,739735.0,1225216.0,1229304.0,724374.0,1229304.0,1281972.0,733330.0,1281972.0,0.1
964,1195760.0,903170.0,1195760.0,1256145.0,712895.0,1256145.0,1212150.0,732952.0,1212150.0,0.1
965,1196836.0,898554.0,1196836.0,1245356.0,709766.0,1245356.0,1200993.0,734122.0,1200993.0,0.1
966,1164255.0,921872.0,1164255.0,1243247.0,723987.0,1243247.0,1228624.0,737092.0,1228624.0,0.1
967,1202639.0,845159.0,1202639.0,1226812.0,732084.0,1226812.0,1218338.0,745360.0,1218338.0,0.1
968,1223020.0,848529.0,1223020.0,1242401.0,718834.0,1242401.0,1230355.0,740072.0,1230355.0,0.1
969,1195934.0,874837.0,1195934.0,1207500.0,715914.0,1207500.0,1222661.0,728438.0,1222661.0,0.1
970,1225371.0,732434.0,1225371.0,1230494.0,717461.0,1230494.0,1219139.0,729013.0,1219139.0,0.1
971,1227020.0,870493.0,1227020.0,1237688.0,723503.0,1237688.0,1221224.0,741404.0,1221224.0,0.1
972,1222123.0,836489.0,1222123.0,1271588.0,719256.0,1271588.0,1238791.0,732487.0,1238791.0,0.1
973,1217603.0,888555.0,1217603.0,1277581.0,735887.0,1277581.0,1221808.0,745981.0,1221808.0,0.1
974,1208085.0,817980.0,1208085.0,1245457.0,708362.0,1245457.0,1215506.0,727286.0,1215506.0,0.1
975,1218834.0,894342.0,1218834.0,1261855.0,704154.0,1261855.0,1248265.0,719574.0,1248265.0,0.1
976,1191937.0,866309.0,1191937.0,1245566.0,721071.0,1245566.0,1202262.0,731167.0,1202262.0,0.1
977,1209143.0,854051.0,1209143.0,1265675.0,719468.0,1265675.0,1244153.0,726981.0,1244153.0,0.1
978,1222258.0,852301.0,1222258.0,1260817.0,722480.0,1260817.0,1234633.0,734271.0,1234633.0,0.1
979,1229798.0,861799.0,1229798.0,1229921.0,717793.0,1229921.0,1216956.0,734292.0,1216956.0,0.1
980,1204142.0,885497.0,1204142.0,1248311.0,718456.0,1248311.0,1226203.0,730653.0,1226203.0,0.1
981,1201863.0,860962.0,1201863.0,1231129.0,712446.0,1231129.0,1249012.0,723397.0,1249012.0,0.1
982,1205229.0,866358.0,1205229.0,1235968.0,712945.0,1235968.0,1238634.0,868692.0,1238634.0,0.1
983,1206661.0,894106.0,1206661.0,1253599.0,705208.0,1253599.0,1224831.0,728584.0,1224831.0,0.1
984,1203090.0,887804.0,1203090.0,1233733.0,719540.0,1233733.0,1253528.0,748427.0,1253528.0,0.1
985,1179717.0,918650.0,1179717.0,1220971.0,717512.0,1220971.0,1218646.0,723245.0,1218646.0,0.1
986,1172177.0,897430.0,1172177.0,1247508.0,714358.0,1247508.0,1212380.0,734894.0,1212380.0,0.1
987,1161751.0,898375.0,1161751.0,1278065.0,721248.0,1278065.0,1254112.0,743022.0,1254112.0,0.1
988,1201308.0,851936.0,1201308.0,1243300.0,702609.0,1243300.0,1239563.0,723850.0,1239563.0,0.1
989,1225029.0,716752.0,1225029.0,1230543.0,706843.0,1230543.0,1218029.0,720332.0,1218029.0,0.1
990,1203482.0,828815.0,1203482.0,1235074.0,714388.0,1235074.0,1224230.0,746475.0,1224230.0,0.1
991,1187480.0,862886.0,1187480.0,1254846.0,726032.0,1254846.0,1224725.0,732265.0,1224725.0,0.1
992,1199982.0,880136.0,1199982.0,1228692.0,722414.0,1228692.0,1224890.0,736191.0,1224890.0,0.1
993,1219990.0,727994.0,1219990.0,1245538.0,717115.0,1245538.0,1231792.0,725726.0,1231792.0,0.1
994,1206548.0,837551.0,1206548.0,1255847.0,714633.0,1255847.0,1216951.0,729503.0,1216951.0,0.1
995,1210933.0,865651.0,1210933.0,1224441.0,729879.0,1224441.0,1245525.0,732480.0,1245525.0,0.1
996,1203637.0,740637.0,1203637.0,1246827.0,721919.0,1246827.0,1221148.0,740637.0,1221148.0,0.1
997,1201261.0,717564.0,1201261.0,1218347.0,698977.0,1218347.0,1265469.0,711653.0,1265469.0,0.1
998,1218525.0,873747.0,1218525.0,1246703.0,711724.0,1246703.0,1222888.0,720858.0,1222888.0,0.1
999,1242344.0,737906.0,1242344.0,1249396.0,728888.0,1249396.0,1224677.0,738973.0,1224677.0,0.1
