,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,929132.0,743777.0,929132.0,933162.0,668443.0,933162.0,920906.0,675366.0,920906.0,0.1
2,945881.0,741849.0,945881.0,959509.0,674056.0,959509.0,952302.0,677236.0,952302.0,0.1
3,920656.0,739056.0,920656.0,924742.0,662615.0,924742.0,912529.0,670540.0,912529.0,0.1
4,926749.0,736467.0,926749.0,932881.0,674896.0,932881.0,925316.0,678623.0,925316.0,0.1
5,948768.0,750012.0,948768.0,933030.0,677002.0,933030.0,935926.0,682890.0,935926.0,0.1
6,931104.0,758838.0,931104.0,928884.0,678885.0,928884.0,919518.0,695329.0,919518.0,0.1
7,937023.0,765155.0,937023.0,938640.0,680851.0,938640.0,937587.0,680851.0,937587.0,0.1
8,926976.0,763469.0,926976.0,924384.0,681913.0,924384.0,925406.0,683523.0,925406.0,0.1
9,936510.0,753232.0,936510.0,929739.0,671457.0,929739.0,921067.0,679464.0,921067.0,0.1
10,953839.0,763467.0,953839.0,942550.0,693705.0,942550.0,933875.0,693705.0,933875.0,0.1
11,929379.0,747498.0,929379.0,931962.0,682395.0,931962.0,930927.0,682395.0,930927.0,0.1
12,921509.0,745118.0,921509.0,943267.0,668889.0,943267.0,934862.0,673307.0,934862.0,0.1
13,935361.0,754078.0,935361.0,942609.0,673382.0,942609.0,940109.0,676930.0,940109.0,0.1
14,948824.0,754580.0,948824.0,948602.0,682164.0,948602.0,948646.0,682164.0,948646.0,0.1
15,926031.0,734722.0,926031.0,934462.0,667369.0,934462.0,933623.0,678089.0,933623.0,0.1
16,932973.0,744824.0,932973.0,931715.0,682552.0,931715.0,931570.0,682552.0,931570.0,0.1
17,938337.0,765744.0,938337.0,935219.0,676179.0,935219.0,924638.0,680300.0,924638.0,0.1
18,935355.0,743434.0,935355.0,925003.0,678232.0,925003.0,927298.0,678232.0,927298.0,0.1
19,925865.0,735301.0,925865.0,929626.0,671573.0,929626.0,917413.0,672080.0,917413.0,0.1
20,936118.0,748820.0,936118.0,926745.0,682905.0,926745.0,928404.0,682905.0,928404.0,0.1
21,926427.0,747485.0,926427.0,934869.0,663204.0,934869.0,928262.0,672172.0,928262.0,0.1
22,929300.0,739545.0,929300.0,931468.0,682735.0,931468.0,926760.0,682735.0,926760.0,0.1
23,919549.0,750395.0,919549.0,934216.0,671532.0,934216.0,933502.0,685831.0,933502.0,0.1
24,929453.0,745513.0,929453.0,941613.0,669751.0,941613.0,930997.0,680904.0,930997.0,0.1
25,923466.0,742526.0,923466.0,929922.0,674535.0,929922.0,924275.0,679918.0,924275.0,0.1
26,935495.0,771906.0,935495.0,941706.0,672453.0,941706.0,931949.0,682176.0,931949.0,0.1
27,938370.0,742053.0,938370.0,949528.0,672813.0,949528.0,945222.0,677876.0,945222.0,0.1
28,947436.0,748596.0,947436.0,937199.0,680196.0,937199.0,945052.0,693163.0,945052.0,0.1
29,926448.0,740134.0,926448.0,936485.0,660593.0,936485.0,929111.0,680071.0,929111.0,0.1
30,935911.0,747814.0,935911.0,936574.0,673435.0,936574.0,945045.0,674453.0,945045.0,0.1
31,932907.0,753066.0,932907.0,918629.0,672168.0,918629.0,919182.0,675870.0,919182.0,0.1
32,953579.0,760718.0,953579.0,947193.0,685483.0,947193.0,936247.0,685483.0,936247.0,0.1
33,948353.0,748344.0,948353.0,946885.0,684357.0,946885.0,937803.0,685671.0,937803.0,0.1
34,936977.0,755046.0,936977.0,936515.0,666074.0,936515.0,931498.0,674935.0,931498.0,0.1
35,942038.0,753130.0,942038.0,943970.0,670757.0,943970.0,932145.0,678672.0,932145.0,0.1
36,938325.0,762489.0,938325.0,923443.0,686737.0,923443.0,923510.0,686737.0,923510.0,0.1
37,924979.0,746722.0,924979.0,919913.0,673584.0,919913.0,931201.0,693196.0,931201.0,0.1
38,929483.0,755885.0,929483.0,938016.0,674479.0,938016.0,928655.0,674479.0,928655.0,0.1
39,945450.0,756671.0,945450.0,938773.0,684064.0,938773.0,939227.0,684064.0,939227.0,0.1
40,942298.0,751961.0,942298.0,936915.0,686303.0,936915.0,937564.0,686303.0,937564.0,0.1
41,928638.0,743006.0,928638.0,935336.0,662599.0,935336.0,927651.0,676579.0,927651.0,0.1
42,930064.0,755242.0,930064.0,924298.0,666739.0,924298.0,923086.0,666869.0,923086.0,0.1
43,936883.0,739974.0,936883.0,936804.0,678694.0,936804.0,931565.0,678931.0,931565.0,0.1
44,926755.0,749563.0,926755.0,935970.0,670809.0,935970.0,931823.0,680341.0,931823.0,0.1
45,917410.0,744611.0,917410.0,921420.0,670935.0,921420.0,920000.0,683032.0,920000.0,0.1
46,941032.0,743722.0,941032.0,937055.0,673377.0,937055.0,934422.0,680789.0,934422.0,0.1
47,943088.0,751472.0,943088.0,939779.0,670541.0,939779.0,938126.0,681683.0,938126.0,0.1
