,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,955947.0,781399.0,955947.0,1104157.0,706434.0,1104157.0,1005675.0,754937.0,1005675.0,0.1
2,951709.0,778189.0,951709.0,1116744.0,722779.0,1116744.0,969205.0,756942.0,969205.0,0.1
3,950550.0,781758.0,950550.0,1111651.0,718167.0,1111651.0,1011152.0,751036.0,1011152.0,0.1
4,929935.0,783659.0,929935.0,1107898.0,705516.0,1107898.0,1013651.0,745526.0,1013651.0,0.1
5,955051.0,779889.0,955051.0,1089175.0,719155.0,1089175.0,965934.0,743724.0,965934.0,0.1
6,946636.0,798833.0,946636.0,1111934.0,728159.0,1111934.0,1000653.0,765159.0,1000653.0,0.1
7,950052.0,779325.0,950052.0,1088730.0,712922.0,1088730.0,990021.0,742042.0,990021.0,0.1
8,939794.0,796058.0,939794.0,1109789.0,719412.0,1109789.0,1000077.0,769074.0,1000077.0,0.1
9,949776.0,797924.0,949776.0,1098346.0,715766.0,1098346.0,1016025.0,749011.0,1016025.0,0.1
10,948825.0,793754.0,948825.0,1103380.0,719058.0,1103380.0,1012041.0,767886.0,1012041.0,0.1
11,949542.0,792643.0,949542.0,1105126.0,720247.0,1105126.0,1032048.0,760366.0,1032048.0,0.1
12,948732.0,790781.0,948732.0,1091841.0,716248.0,1091841.0,1009875.0,763325.0,1009875.0,0.1
13,952610.0,795018.0,952610.0,1075759.0,738308.0,1075759.0,968876.0,758880.0,968876.0,0.1
14,956930.0,773446.0,956930.0,1105459.0,708693.0,1105459.0,1007391.0,750148.0,1007391.0,0.1
15,944058.0,787028.0,944058.0,1099555.0,717455.0,1099555.0,1008894.0,756441.0,1008894.0,0.1
16,956121.0,790902.0,956121.0,1082033.0,719015.0,1082033.0,1015523.0,756869.0,1015523.0,0.1
17,942042.0,796693.0,942042.0,1111203.0,736780.0,1111203.0,1006735.0,762151.0,1006735.0,0.1
18,952152.0,792211.0,952152.0,1104190.0,732356.0,1104190.0,1004106.0,763070.0,1004106.0,0.1
19,948981.0,772648.0,948981.0,1090608.0,702441.0,1090608.0,1020510.0,743804.0,1020510.0,0.1
20,956909.0,789517.0,956909.0,1081549.0,728679.0,1081549.0,977503.0,766219.0,977503.0,0.1
21,963491.0,790246.0,963491.0,1112647.0,716613.0,1112647.0,1008955.0,766563.0,1008955.0,0.1
22,950814.0,791768.0,950814.0,1096302.0,727188.0,1096302.0,998090.0,773643.0,998090.0,0.1
23,952550.0,796637.0,952550.0,1097393.0,730748.0,1097393.0,985067.0,771906.0,985067.0,0.1
24,958538.0,783024.0,958538.0,1111383.0,722445.0,1111383.0,1016508.0,759836.0,1016508.0,0.1
25,953686.0,794496.0,953686.0,1070828.0,727674.0,1070828.0,983875.0,763652.0,983875.0,0.1
26,945070.0,781261.0,945070.0,1088538.0,713759.0,1088538.0,1012221.0,745254.0,1012221.0,0.1
27,960507.0,789450.0,960507.0,1115705.0,736935.0,1115705.0,1014105.0,758972.0,1014105.0,0.1
28,959608.0,777728.0,959608.0,1122171.0,716342.0,1122171.0,1005442.0,761383.0,1005442.0,0.1
29,954388.0,803032.0,954388.0,1101185.0,733862.0,1101185.0,993586.0,771013.0,993586.0,0.1
30,956172.0,788688.0,956172.0,1110555.0,727570.0,1110555.0,1001991.0,756102.0,1001991.0,0.1
31,946273.0,776665.0,946273.0,1102241.0,715146.0,1102241.0,1014454.0,748413.0,1014454.0,0.1
32,948248.0,785168.0,948248.0,1107105.0,710308.0,1107105.0,1033043.0,748337.0,1033043.0,0.1
33,942440.0,779813.0,942440.0,1095658.0,710135.0,1095658.0,988128.0,745058.0,988128.0,0.1
34,941892.0,792473.0,941892.0,1092725.0,718546.0,1092725.0,1007355.0,751251.0,1007355.0,0.1
35,939718.0,776301.0,939718.0,1081697.0,710943.0,1081697.0,1000675.0,744499.0,1000675.0,0.1
36,945787.0,786841.0,945787.0,1106232.0,725124.0,1106232.0,1010463.0,757277.0,1010463.0,0.1
37,953329.0,801462.0,953329.0,1085518.0,740614.0,1085518.0,965434.0,788569.0,965434.0,0.1
38,946814.0,785075.0,946814.0,1097556.0,711715.0,1097556.0,1034297.0,752497.0,1034297.0,0.1
39,952040.0,788309.0,952040.0,1104895.0,713076.0,1104895.0,996708.0,745744.0,996708.0,0.1
40,942370.0,779942.0,942370.0,1094114.0,702652.0,1094114.0,1000686.0,765744.0,1000686.0,0.1
41,953906.0,793299.0,953906.0,1122311.0,723835.0,1122311.0,1024873.0,753712.0,1024873.0,0.1
42,958224.0,789600.0,958224.0,1120218.0,724730.0,1120218.0,1018053.0,754738.0,1018053.0,0.1
43,949021.0,785020.0,949021.0,1107434.0,729147.0,1107434.0,1018664.0,763646.0,1018664.0,0.1
44,956923.0,777041.0,956923.0,1105731.0,713408.0,1105731.0,974614.0,757851.0,974614.0,0.1
45,944280.0,776087.0,944280.0,1081558.0,713184.0,1081558.0,964191.0,758060.0,964191.0,0.1
46,961332.0,777826.0,961332.0,1091044.0,717608.0,1091044.0,995620.0,764436.0,995620.0,0.1
47,948033.0,791772.0,948033.0,1101903.0,725703.0,1101903.0,1004187.0,769520.0,1004187.0,0.1
48,947605.0,796198.0,947605.0,1109709.0,712236.0,1109709.0,978648.0,754343.0,978648.0,0.1
49,939584.0,780722.0,939584.0,1092139.0,712200.0,1092139.0,1003204.0,750403.0,1003204.0,0.1
50,947647.0,783940.0,947647.0,1113257.0,720884.0,1113257.0,978894.0,753614.0,978894.0,0.1
51,950083.0,784088.0,950083.0,1096619.0,727865.0,1096619.0,974353.0,754414.0,974353.0,0.1
52,940449.0,797521.0,940449.0,1077433.0,724745.0,1077433.0,1005385.0,770963.0,1005385.0,0.1
53,949203.0,779697.0,949203.0,1074937.0,712372.0,1074937.0,977248.0,752899.0,977248.0,0.1
54,952259.0,782421.0,952259.0,1083897.0,712651.0,1083897.0,999488.0,757813.0,999488.0,0.1
55,956453.0,802692.0,956453.0,1114844.0,720319.0,1114844.0,1024000.0,766984.0,1024000.0,0.1
56,948983.0,791858.0,948983.0,1086691.0,717965.0,1086691.0,988300.0,753867.0,988300.0,0.1
57,936416.0,792940.0,936416.0,1091808.0,717868.0,1091808.0,982920.0,753239.0,982920.0,0.1
58,947119.0,776062.0,947119.0,1084494.0,706601.0,1084494.0,1008224.0,740183.0,1008224.0,0.1
59,956716.0,789062.0,956716.0,1122247.0,722579.0,1122247.0,1028417.0,759015.0,1028417.0,0.1
60,955489.0,775544.0,955489.0,1078447.0,730322.0,1078447.0,976514.0,747980.0,976514.0,0.1
61,958786.0,783219.0,958786.0,1114606.0,714399.0,1114606.0,1023784.0,744829.0,1023784.0,0.1
62,948053.0,798280.0,948053.0,1106830.0,716956.0,1106830.0,988041.0,755106.0,988041.0,0.1
63,943918.0,777311.0,943918.0,1098291.0,717222.0,1098291.0,1001199.0,751600.0,1001199.0,0.1
64,956832.0,789501.0,956832.0,1108893.0,719560.0,1108893.0,1015042.0,758244.0,1015042.0,0.1
65,939042.0,786107.0,939042.0,1101095.0,725545.0,1101095.0,1000365.0,748019.0,1000365.0,0.1
66,950532.0,768029.0,950532.0,1120301.0,721344.0,1120301.0,1000128.0,755789.0,1000128.0,0.1
67,940616.0,788167.0,940616.0,1075132.0,712597.0,1075132.0,1006805.0,770469.0,1006805.0,0.1
68,958182.0,791042.0,958182.0,1100000.0,713669.0,1100000.0,1014349.0,779514.0,1014349.0,0.1
69,943731.0,786326.0,943731.0,1105058.0,724400.0,1105058.0,1015642.0,744853.0,1015642.0,0.1
70,954168.0,794330.0,954168.0,1094937.0,722408.0,1094937.0,1005825.0,758171.0,1005825.0,0.1
71,959527.0,774561.0,959527.0,1114739.0,712656.0,1114739.0,1042436.0,752455.0,1042436.0,0.1
72,957622.0,790278.0,957622.0,1114328.0,732508.0,1114328.0,1009999.0,762200.0,1009999.0,0.1
73,949828.0,778785.0,949828.0,1097361.0,719325.0,1097361.0,978283.0,756426.0,978283.0,0.1
74,947356.0,777244.0,947356.0,1102515.0,718372.0,1102515.0,978741.0,747270.0,978741.0,0.1
75,948826.0,781353.0,948826.0,1107583.0,722242.0,1107583.0,1000236.0,747081.0,1000236.0,0.1
76,951147.0,797939.0,951147.0,1083612.0,730055.0,1083612.0,997633.0,776217.0,997633.0,0.1
77,954442.0,792853.0,954442.0,1116774.0,723455.0,1116774.0,1017788.0,753580.0,1017788.0,0.1
78,947639.0,780940.0,947639.0,1099117.0,726750.0,1099117.0,990689.0,759495.0,990689.0,0.1
79,957247.0,784608.0,957247.0,1082013.0,712199.0,1082013.0,993135.0,767625.0,993135.0,0.1
80,943737.0,769044.0,943737.0,1096232.0,699928.0,1096232.0,997829.0,752567.0,997829.0,0.1
81,948327.0,788826.0,948327.0,1096002.0,716457.0,1096002.0,1007319.0,757041.0,1007319.0,0.1
82,947243.0,784571.0,947243.0,1108452.0,716318.0,1108452.0,1016489.0,755976.0,1016489.0,0.1
83,941267.0,780741.0,941267.0,1086513.0,712053.0,1086513.0,987704.0,753718.0,987704.0,0.1
84,957367.0,784579.0,957367.0,1093808.0,720836.0,1093808.0,1001995.0,749491.0,1001995.0,0.1
85,952822.0,774955.0,952822.0,1106330.0,737136.0,1106330.0,1007913.0,756582.0,1007913.0,0.1
86,944489.0,807203.0,944489.0,1104666.0,720271.0,1104666.0,993858.0,785728.0,993858.0,0.1
87,955857.0,795219.0,955857.0,1092145.0,719468.0,1092145.0,1006667.0,778178.0,1006667.0,0.1
88,943231.0,782545.0,943231.0,1091750.0,717753.0,1091750.0,999627.0,756034.0,999627.0,0.1
89,944483.0,792828.0,944483.0,1106421.0,731586.0,1106421.0,1007917.0,761612.0,1007917.0,0.1
90,947095.0,776938.0,947095.0,1088020.0,705563.0,1088020.0,987889.0,752673.0,987889.0,0.1
91,962282.0,783006.0,962282.0,1107821.0,712073.0,1107821.0,1009019.0,752246.0,1009019.0,0.1
92,952912.0,778133.0,952912.0,1093679.0,712029.0,1093679.0,949921.0,760297.0,949921.0,0.1
93,959766.0,800879.0,959766.0,1111199.0,731052.0,1111199.0,999562.0,776020.0,999562.0,0.1
94,948125.0,797104.0,948125.0,1106811.0,723813.0,1106811.0,998803.0,760296.0,998803.0,0.1
95,947945.0,788841.0,947945.0,1096755.0,715143.0,1096755.0,995935.0,748061.0,995935.0,0.1
96,950360.0,788215.0,950360.0,1105740.0,739949.0,1105740.0,980912.0,761950.0,980912.0,0.1
97,953346.0,783326.0,953346.0,1075736.0,711664.0,1075736.0,976694.0,756862.0,976694.0,0.1
98,953986.0,786947.0,953986.0,1103572.0,720834.0,1103572.0,1014085.0,752631.0,1014085.0,0.1
99,943622.0,775648.0,943622.0,1091242.0,723133.0,1091242.0,996260.0,760690.0,996260.0,0.1
100,956090.0,780945.0,956090.0,1089694.0,728049.0,1089694.0,990295.0,749734.0,990295.0,0.1
101,943530.0,785797.0,943530.0,1098035.0,721556.0,1098035.0,993936.0,771268.0,993936.0,0.1
102,946613.0,795857.0,946613.0,1096652.0,727363.0,1096652.0,1007371.0,755187.0,1007371.0,0.1
103,949977.0,772480.0,949977.0,1114890.0,716883.0,1114890.0,1009648.0,745672.0,1009648.0,0.1
104,940833.0,783715.0,940833.0,1118382.0,710908.0,1118382.0,1012113.0,747030.0,1012113.0,0.1
105,937464.0,799782.0,937464.0,1101507.0,719198.0,1101507.0,994815.0,773541.0,994815.0,0.1
106,940790.0,763153.0,940790.0,1100918.0,705372.0,1100918.0,963977.0,744253.0,963977.0,0.1
107,952995.0,792443.0,952995.0,1115860.0,727546.0,1115860.0,1003792.0,769275.0,1003792.0,0.1
108,952402.0,779835.0,952402.0,1111615.0,711097.0,1111615.0,1007403.0,742388.0,1007403.0,0.1
109,951587.0,787362.0,951587.0,1099541.0,715089.0,1099541.0,995470.0,762674.0,995470.0,0.1
110,952580.0,783211.0,952580.0,1118549.0,730135.0,1118549.0,1011044.0,761221.0,1011044.0,0.1
111,961440.0,790948.0,961440.0,1103952.0,718815.0,1103952.0,997088.0,766681.0,997088.0,0.1
112,949424.0,786432.0,949424.0,1112948.0,727967.0,1112948.0,980711.0,754095.0,980711.0,0.1
113,946569.0,784461.0,946569.0,1115153.0,709644.0,1115153.0,988402.0,759128.0,988402.0,0.1
114,950713.0,786042.0,950713.0,1090311.0,727043.0,1090311.0,1022106.0,782183.0,1022106.0,0.1
115,948031.0,800010.0,948031.0,1125367.0,724474.0,1125367.0,999104.0,771610.0,999104.0,0.1
116,950699.0,778765.0,950699.0,1100412.0,714313.0,1100412.0,1000962.0,752408.0,1000962.0,0.1
117,951799.0,789354.0,951799.0,1102794.0,723544.0,1102794.0,996985.0,750916.0,996985.0,0.1
118,950457.0,777483.0,950457.0,1118277.0,716444.0,1118277.0,1021920.0,747155.0,1021920.0,0.1
119,956667.0,774820.0,956667.0,1091214.0,713295.0,1091214.0,999971.0,750164.0,999971.0,0.1
120,946796.0,791215.0,946796.0,1095678.0,713064.0,1095678.0,1008875.0,770890.0,1008875.0,0.1
121,957058.0,771237.0,957058.0,1077444.0,711515.0,1077444.0,979612.0,751439.0,979612.0,0.1
122,936431.0,771822.0,936431.0,1062956.0,709266.0,1062956.0,1013656.0,737253.0,1013656.0,0.1
123,945655.0,790616.0,945655.0,1111133.0,722618.0,1111133.0,1023413.0,757076.0,1023413.0,0.1
124,949162.0,789525.0,949162.0,1117171.0,725956.0,1117171.0,1004135.0,747285.0,1004135.0,0.1
125,950445.0,777481.0,950445.0,1121269.0,708300.0,1121269.0,995931.0,745763.0,995931.0,0.1
126,945141.0,781336.0,945141.0,1112113.0,718073.0,1112113.0,979478.0,745728.0,979478.0,0.1
127,941311.0,787397.0,941311.0,1098776.0,722481.0,1098776.0,969902.0,752583.0,969902.0,0.1
128,941997.0,769188.0,941997.0,1114738.0,718660.0,1114738.0,976318.0,741357.0,976318.0,0.1
129,956874.0,796290.0,956874.0,1091381.0,729779.0,1091381.0,998754.0,765403.0,998754.0,0.1
130,942842.0,788059.0,942842.0,1112730.0,732574.0,1112730.0,1014302.0,759839.0,1014302.0,0.1
131,948919.0,793565.0,948919.0,1110013.0,720976.0,1110013.0,1018017.0,750175.0,1018017.0,0.1
132,946076.0,800857.0,946076.0,1102482.0,733932.0,1102482.0,1011296.0,788590.0,1011296.0,0.1
133,936856.0,786423.0,936856.0,1097978.0,720193.0,1097978.0,1009128.0,752662.0,1009128.0,0.1
134,953784.0,784426.0,953784.0,1092037.0,721276.0,1092037.0,1007197.0,761996.0,1007197.0,0.1
135,944767.0,786361.0,944767.0,1105958.0,712193.0,1105958.0,1020371.0,747417.0,1020371.0,0.1
136,956827.0,781763.0,956827.0,1076078.0,722810.0,1076078.0,985038.0,777509.0,985038.0,0.1
137,956290.0,778133.0,956290.0,1117132.0,723264.0,1117132.0,1004139.0,753010.0,1004139.0,0.1
138,951929.0,785236.0,951929.0,1094771.0,715328.0,1094771.0,998048.0,773023.0,998048.0,0.1
139,950363.0,791231.0,950363.0,1123892.0,725514.0,1123892.0,1016985.0,747290.0,1016985.0,0.1
140,941117.0,775551.0,941117.0,1101785.0,695054.0,1101785.0,983826.0,752281.0,983826.0,0.1
141,950776.0,790364.0,950776.0,1090388.0,726954.0,1090388.0,954170.0,774163.0,954170.0,0.1
142,947396.0,782622.0,947396.0,1082799.0,722412.0,1082799.0,996098.0,760210.0,996098.0,0.1
143,945504.0,790708.0,945504.0,1106164.0,732402.0,1106164.0,1011740.0,756928.0,1011740.0,0.1
144,946239.0,782261.0,946239.0,1085626.0,711949.0,1085626.0,1005207.0,753308.0,1005207.0,0.1
145,944674.0,765719.0,944674.0,1088209.0,701576.0,1088209.0,1016308.0,745611.0,1016308.0,0.1
146,960774.0,784611.0,960774.0,1105426.0,715438.0,1105426.0,1032166.0,744945.0,1032166.0,0.1
147,948452.0,789472.0,948452.0,1105904.0,719924.0,1105904.0,998393.0,765021.0,998393.0,0.1
148,946498.0,772560.0,946498.0,1112535.0,715641.0,1112535.0,961313.0,746359.0,961313.0,0.1
149,933411.0,780598.0,933411.0,1096687.0,716275.0,1096687.0,986792.0,743594.0,986792.0,0.1
150,959222.0,794140.0,959222.0,1116389.0,726198.0,1116389.0,1002266.0,766030.0,1002266.0,0.1
151,943639.0,793974.0,943639.0,1108338.0,730221.0,1108338.0,1010546.0,773923.0,1010546.0,0.1
