,improve,makespan1,makespan2,makespan3,number_of_edges,number_of_nodes,priotime,type1,type2,type3,,
60,99.05531179,107,107,107,17,12,0.004577875,0.105847359,0.004000425,0.000999928,TRUE,TRUE
61,75.55894551,93,93,93,17,12,0.004000187,0.005001307,0.005167961,0.001222372,TRUE,TRUE
62,86.08273222,104,104,104,18,12,0.006266117,0.008097887,0.005061626,0.001127005,TRUE,TRUE
63,84.60338196,119,119,119,16,12,0.003010035,0.006570339,0.006148815,0.00101161,TRUE,TRUE
64,83.70168965,84,84,84,16,12,0.004000664,0.006138086,0.005075216,0.001000404,TRUE,TRUE
65,100,93,93,93,16,12,0.003524542,0.006092787,0.005052328,0,TRUE,TRUE
66,100,94,94,94,19,12,0.003016472,0.005045652,0.005157232,0,TRUE,TRUE
67,80.38959219,146,146,146,20,12,0.004044056,0.005103827,0.005008221,0.001000881,TRUE,TRUE
68,83.36962116,93,93,93,19,12,0.004160166,0.006022692,0.004000425,0.001001596,TRUE,TRUE
69,80.00667398,80,80,80,20,12,0.004000664,0.005001307,0.005001307,0.000999928,TRUE,TRUE
70,100,94,94,94,20,12,0.004045248,0.005299568,0.005070448,0,TRUE,TRUE
71,83.90425409,108,108,108,23,12,0.004035234,0.006215334,0.004015684,0.001000404,TRUE,TRUE
72,97.4487359,4925,4925,4925,151,152,0.532460451,0.588022709,0.635432959,0.015002012,TRUE,TRUE
73,97.76178021,2976,2976,2976,191,152,0.474186182,0.678701878,0.602148771,0.01519084,TRUE,TRUE
74,97.77675538,2141,2141,2141,200,152,0.551270008,0.63999176,0.66831255,0.014228582,TRUE,TRUE
75,97.85450725,5027,5027,5027,151,152,0.454425573,0.699389458,0.611322165,0.01500535,TRUE,TRUE
76,97.77828614,3356,3356,3356,192,152,0.470496893,0.675352335,0.634112835,0.015004396,TRUE,TRUE
77,97.52566489,2391,2391,2391,194,152,0.470493555,0.646793842,0.68603754,0.016003847,TRUE,TRUE
78,97.43083865,4935,4935,4935,151,152,0.467911959,0.661869287,0.610507011,0.01700449,TRUE,TRUE
79,97.80150973,3377,3377,3377,188,152,0.566325426,0.648076296,0.685036659,0.014247894,TRUE,TRUE
80,97.36975034,2022,2022,2022,202,152,0.574723959,0.532411575,0.696407795,0.014003754,TRUE,TRUE
81,97.50274288,5150,5150,5150,151,152,0.465694666,0.640837908,0.597414255,0.01600337,TRUE,TRUE
82,97.79760328,3480,3480,3480,192,152,0.470515251,0.682293415,0.601634741,0.015026808,TRUE,TRUE
83,86.61584825,2014,2014,2014,194,152,0.561802626,0.643434286,0.598843575,0.086118221,TRUE,TRUE
84,98.35627595,1283,1283,1283,244,152,0.481875181,0.673311949,0.691170931,0.01106739,TRUE,TRUE
