,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
448,916119.0,737102.0,916119.0,919787.0,670133.0,919787.0,922877.0,670133.0,922877.0,0.1
449,942143.0,747529.0,942143.0,938304.0,683344.0,938304.0,938932.0,683344.0,938932.0,0.1
450,932581.0,749589.0,932581.0,930676.0,684069.0,930676.0,928771.0,684069.0,928771.0,0.1
451,925378.0,750218.0,925378.0,921342.0,671335.0,921342.0,922139.0,671538.0,922139.0,0.1
452,935330.0,750299.0,935330.0,933710.0,672258.0,933710.0,931753.0,672258.0,931753.0,0.1
453,945491.0,760737.0,945491.0,952899.0,669861.0,952899.0,946970.0,678542.0,946970.0,0.1
454,944319.0,748464.0,944319.0,932135.0,674278.0,932135.0,930231.0,684883.0,930231.0,0.1
455,941849.0,755752.0,941849.0,941588.0,688819.0,941588.0,927069.0,688819.0,927069.0,0.1
456,944652.0,744817.0,944652.0,942426.0,670870.0,942426.0,929318.0,678892.0,929318.0,0.1
457,947291.0,766377.0,947291.0,947201.0,685147.0,947201.0,948911.0,691702.0,948911.0,0.1
458,929970.0,739928.0,929970.0,930698.0,672798.0,930698.0,925531.0,680149.0,925531.0,0.1
459,936882.0,742894.0,936882.0,951002.0,672737.0,951002.0,942518.0,681973.0,942518.0,0.1
460,931901.0,763646.0,931901.0,925975.0,682249.0,925975.0,927313.0,683768.0,927313.0,0.1
461,937832.0,762594.0,937832.0,940718.0,672483.0,940718.0,931536.0,682170.0,931536.0,0.1
462,937146.0,740225.0,937146.0,937459.0,680051.0,937459.0,942783.0,680051.0,942783.0,0.1
463,932378.0,748312.0,932378.0,931165.0,652084.0,931165.0,921793.0,666077.0,921793.0,0.1
464,926694.0,737080.0,926694.0,933118.0,678899.0,933118.0,938014.0,678899.0,938014.0,0.1
465,923674.0,736920.0,923674.0,928496.0,661042.0,928496.0,927643.0,675597.0,927643.0,0.1
466,945676.0,739574.0,945676.0,942611.0,680618.0,942611.0,934968.0,680618.0,934968.0,0.1
467,944722.0,752122.0,944722.0,941156.0,669951.0,941156.0,945575.0,671671.0,945575.0,0.1
468,933524.0,734819.0,933524.0,925293.0,664686.0,925293.0,910164.0,673668.0,910164.0,0.1
469,935796.0,757636.0,935796.0,940605.0,680626.0,940605.0,941673.0,681255.0,941673.0,0.1
470,946562.0,744316.0,946562.0,951653.0,669545.0,951653.0,947699.0,685246.0,947699.0,0.1
471,927088.0,745413.0,927088.0,930797.0,671293.0,930797.0,924344.0,671293.0,924344.0,0.1
472,943163.0,746819.0,943163.0,941633.0,674857.0,941633.0,941780.0,674857.0,941780.0,0.1
473,943231.0,732796.0,943231.0,936374.0,654797.0,936374.0,938098.0,666202.0,938098.0,0.1
474,925231.0,733583.0,925231.0,932760.0,668142.0,932760.0,920857.0,668142.0,920857.0,0.1
475,933652.0,731895.0,933652.0,927726.0,670133.0,927726.0,930238.0,670133.0,930238.0,0.1
476,922577.0,739426.0,922577.0,923748.0,681201.0,923748.0,920276.0,681201.0,920276.0,0.1
477,947211.0,768596.0,947211.0,955264.0,675377.0,955264.0,950087.0,711118.0,950087.0,0.1
478,931040.0,754314.0,931040.0,935325.0,676403.0,935325.0,931775.0,676403.0,931775.0,0.1
