,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
580,1127639.0,767731.0,1127639.0,1155990.0,762944.0,1155990.0,1135246.0,772854.0,1135246.0
581,1131969.0,771410.0,1131969.0,1216073.0,764082.0,1216073.0,1130742.0,769937.0,1130742.0
582,1116897.0,773068.0,1116897.0,1212815.0,770340.0,1212815.0,1118202.0,771303.0,1118202.0
583,1192272.0,756261.0,1192272.0,1338997.0,755504.0,1338997.0,1203077.0,755281.0,1203077.0
584,1157346.0,774086.0,1157346.0,1242387.0,769354.0,1242387.0,1144699.0,773507.0,1144699.0
585,1181936.0,759092.0,1181936.0,1332331.0,755776.0,1332331.0,1182874.0,756246.0,1182874.0
586,1147280.0,765766.0,1147280.0,1299222.0,762457.0,1299222.0,1222773.0,764967.0,1222773.0
587,1161726.0,795852.0,1161726.0,1201121.0,788937.0,1201121.0,1156777.0,790297.0,1156777.0
588,1153181.0,771145.0,1153181.0,1259371.0,776966.0,1259371.0,1187219.0,768938.0,1187219.0
589,1167462.0,724946.0,1167462.0,1262168.0,732828.0,1262168.0,1166260.0,723545.0,1166260.0
590,1218269.0,773468.0,1218269.0,1226200.0,764800.0,1226200.0,1214408.0,770066.0,1214408.0
591,1133329.0,740396.0,1133329.0,1259278.0,731710.0,1259278.0,1139879.0,740075.0,1139879.0
592,1190948.0,766901.0,1190948.0,1295515.0,766978.0,1295515.0,1288403.0,778766.0,1288403.0
593,1141268.0,745651.0,1141268.0,1164878.0,745553.0,1164878.0,1155934.0,745651.0,1155934.0
594,1174526.0,733001.0,1174526.0,1225845.0,730274.0,1225845.0,1355294.0,732466.0,1355294.0
595,1171277.0,757783.0,1171277.0,1228122.0,755112.0,1228122.0,1292874.0,761235.0,1292874.0
596,1171386.0,698892.0,1171386.0,1305903.0,677099.0,1305903.0,1220417.0,669504.0,1220417.0
597,1150912.0,760528.0,1150912.0,1299294.0,734837.0,1299294.0,1161457.0,757557.0,1161457.0
598,1164634.0,738385.0,1164634.0,1254427.0,737497.0,1254427.0,1164184.0,740418.0,1164184.0
599,1119766.0,757397.0,1119766.0,1194187.0,746111.0,1194187.0,1227659.0,751219.0,1227659.0
600,1112454.0,763944.0,1112454.0,1126549.0,752313.0,1126549.0,1131608.0,759834.0,1131608.0
601,1182794.0,752714.0,1182794.0,1175477.0,749981.0,1175477.0,1182316.0,758304.0,1182316.0
602,1213212.0,747093.0,1213212.0,1286558.0,743163.0,1286558.0,1221000.0,746902.0,1221000.0
603,1168278.0,781349.0,1168278.0,1183433.0,776902.0,1183433.0,1172614.0,777279.0,1172614.0
604,1168771.0,734669.0,1168771.0,1196567.0,726596.0,1196567.0,1166418.0,727251.0,1166418.0
605,1129100.0,782113.0,1129100.0,1284146.0,773515.0,1284146.0,1129359.0,783274.0,1129359.0
606,1143520.0,752496.0,1143520.0,1253891.0,756221.0,1253891.0,1155271.0,751911.0,1155271.0
607,1185790.0,783006.0,1185790.0,1231803.0,792009.0,1231803.0,1183480.0,781954.0,1183480.0
608,1132646.0,748544.0,1132646.0,1365087.0,733827.0,1365087.0,1149490.0,747808.0,1149490.0
609,1178516.0,771235.0,1178516.0,1232022.0,773319.0,1232022.0,1183981.0,770997.0,1183981.0
