,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,949348.0,777687.0,949348.0,1237088.0,707735.0,1237088.0,949348.0,777687.0,949348.0,949348.0,777687.0,949348.0,1189042.0,751981.0,1189042.0,1083909.0,759610.0,1083909.0
1,932722.0,806160.0,932722.0,1291805.0,740454.0,1291805.0,932722.0,806160.0,932722.0,932722.0,806160.0,932722.0,1200424.0,788807.0,1200424.0,1145709.0,768066.0,1145709.0
2,960062.0,817511.0,960062.0,1344841.0,756830.0,1344841.0,960062.0,817511.0,960062.0,960062.0,817511.0,960062.0,1261468.0,791030.0,1261468.0,1149993.0,774532.0,1149993.0
3,1000280.0,822049.0,1000280.0,1269492.0,718837.0,1269492.0,1000280.0,822049.0,1000280.0,1000280.0,822049.0,1000280.0,1143109.0,795689.0,1143109.0,1074800.0,797674.0,1074800.0
4,980585.0,846813.0,980585.0,1278170.0,787120.0,1278170.0,980585.0,846813.0,980585.0,980585.0,846813.0,980585.0,1070167.0,833384.0,1070167.0,1066646.0,838326.0,1066646.0
5,978192.0,804023.0,978192.0,1247936.0,772518.0,1247936.0,978192.0,804023.0,978192.0,978192.0,804023.0,978192.0,1138953.0,773046.0,1138953.0,1102627.0,765385.0,1102627.0
6,985931.0,802029.0,985931.0,1227805.0,761277.0,1227805.0,985931.0,802029.0,985931.0,985931.0,802029.0,985931.0,1044014.0,795393.0,1044014.0,1002927.0,768074.0,1002927.0
7,1021030.0,830526.0,1021030.0,1305400.0,773834.0,1305400.0,1021030.0,830526.0,1021030.0,1021030.0,830526.0,1021030.0,1140373.0,808409.0,1140373.0,1192588.0,779707.0,1192588.0
8,933006.0,764119.0,933006.0,1211928.0,708946.0,1211928.0,933006.0,764119.0,933006.0,933006.0,764119.0,933006.0,1197559.0,752983.0,1197559.0,1131165.0,710812.0,1131165.0
9,991214.0,847080.0,991214.0,1217419.0,772510.0,1217419.0,991214.0,847080.0,991214.0,991214.0,847080.0,991214.0,1032418.0,835206.0,1032418.0,991941.0,832537.0,991941.0
10,999505.0,781903.0,999505.0,1278361.0,688082.0,1278361.0,999505.0,781903.0,999505.0,999505.0,781903.0,999505.0,1219555.0,772529.0,1219555.0,1156466.0,715382.0,1156466.0
11,937920.0,828751.0,937920.0,1192952.0,779072.0,1192952.0,937920.0,828751.0,937920.0,937920.0,828751.0,937920.0,1013089.0,821438.0,1013089.0,952305.0,830551.0,952305.0
12,1026967.0,794688.0,1026967.0,1302301.0,719379.0,1302301.0,1026967.0,794688.0,1026967.0,1026967.0,794688.0,1026967.0,1258550.0,770112.0,1258550.0,1139052.0,765791.0,1139052.0
13,1010514.0,821449.0,1010514.0,1435963.0,767697.0,1435963.0,1010514.0,821449.0,1010514.0,1010514.0,821449.0,1010514.0,1174236.0,797502.0,1174236.0,1114517.0,771723.0,1114517.0
14,1003833.0,806318.0,1003833.0,1363888.0,737338.0,1363888.0,1003833.0,806318.0,1003833.0,1003833.0,806318.0,1003833.0,1120755.0,771011.0,1120755.0,1201911.0,751622.0,1201911.0
