,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
0,1099662.0,671087.0,1099662.0,1200534.0,663862.0,1200534.0,1112025.0,670412.0,1112025.0
1,1096016.0,675121.0,1096016.0,1210640.0,657926.0,1210640.0,1108586.0,662673.0,1108586.0
2,1105248.0,669756.0,1105248.0,1193404.0,657104.0,1193404.0,1125631.0,662813.0,1125631.0
3,1109964.0,668814.0,1109964.0,1234949.0,670076.0,1234949.0,1110606.0,670560.0,1110606.0
4,1099720.0,680074.0,1099720.0,1219501.0,676173.0,1219501.0,1099643.0,676158.0,1099643.0
5,1111594.0,670432.0,1111594.0,1210484.0,656545.0,1210484.0,1107361.0,662442.0,1107361.0
6,1100369.0,663737.0,1100369.0,1202765.0,662807.0,1202765.0,1105410.0,672958.0,1105410.0
7,1113594.0,668334.0,1113594.0,1214456.0,665026.0,1214456.0,1115611.0,662400.0,1115611.0
8,1107896.0,669428.0,1107896.0,1233347.0,662115.0,1233347.0,1104075.0,673208.0,1104075.0
9,1109953.0,680822.0,1109953.0,1163259.0,680243.0,1163259.0,1112400.0,678693.0,1112400.0
10,1105501.0,677536.0,1105501.0,1208433.0,668327.0,1208433.0,1125039.0,666982.0,1125039.0
11,1105085.0,663131.0,1105085.0,1204586.0,657776.0,1204586.0,1107248.0,662428.0,1107248.0
12,1097746.0,669615.0,1097746.0,1140517.0,665844.0,1140517.0,1092001.0,666054.0,1092001.0
13,1101085.0,677785.0,1101085.0,1212590.0,671993.0,1212590.0,1127059.0,670957.0,1127059.0
14,1099202.0,683680.0,1099202.0,1214696.0,677379.0,1214696.0,1116567.0,679589.0,1116567.0
15,1108487.0,673678.0,1108487.0,1237418.0,667312.0,1237418.0,1110138.0,673010.0,1110138.0
16,1102209.0,669844.0,1102209.0,1156146.0,664929.0,1156146.0,1104643.0,665637.0,1104643.0
17,1096973.0,664077.0,1096973.0,1255739.0,661594.0,1255739.0,1103076.0,662298.0,1103076.0
18,1114113.0,676827.0,1114113.0,1158276.0,675073.0,1158276.0,1110724.0,675027.0,1110724.0
19,1094693.0,664046.0,1094693.0,1146238.0,653198.0,1146238.0,1099009.0,652270.0,1099009.0
20,1109521.0,668270.0,1109521.0,1194861.0,661289.0,1194861.0,1106525.0,663477.0,1106525.0
21,1119154.0,681159.0,1119154.0,1241806.0,673851.0,1241806.0,1118015.0,674204.0,1118015.0
22,1104561.0,672136.0,1104561.0,1153522.0,668129.0,1153522.0,1114157.0,679746.0,1114157.0
23,1096964.0,675419.0,1096964.0,1141053.0,666278.0,1141053.0,1094113.0,673950.0,1094113.0
24,1091658.0,671789.0,1091658.0,1151865.0,665039.0,1151865.0,1110066.0,665674.0,1110066.0
25,1098005.0,678934.0,1098005.0,1226161.0,677507.0,1226161.0,1108022.0,680001.0,1108022.0
26,1098283.0,663982.0,1098283.0,1205335.0,649672.0,1205335.0,1099122.0,660359.0,1099122.0
27,1095441.0,673358.0,1095441.0,1116636.0,663132.0,1116636.0,1107409.0,669336.0,1107409.0
28,1107587.0,675310.0,1107587.0,1235872.0,663325.0,1235872.0,1111758.0,664380.0,1111758.0
29,1095810.0,663977.0,1095810.0,1158120.0,659484.0,1158120.0,1120592.0,661213.0,1120592.0
30,1101794.0,680301.0,1101794.0,1177730.0,665655.0,1177730.0,1117926.0,670254.0,1117926.0
31,1106292.0,673432.0,1106292.0,1224702.0,672929.0,1224702.0,1106518.0,666585.0,1106518.0
32,1110495.0,671892.0,1110495.0,1241405.0,657334.0,1241405.0,1107573.0,662752.0,1107573.0
33,1106512.0,667427.0,1106512.0,1201622.0,658807.0,1201622.0,1124625.0,655823.0,1124625.0
34,1102414.0,671038.0,1102414.0,1219664.0,670697.0,1219664.0,1103092.0,677447.0,1103092.0
35,1093243.0,670422.0,1093243.0,1195455.0,658825.0,1195455.0,1096059.0,667814.0,1096059.0
36,1113831.0,671373.0,1113831.0,1215833.0,670597.0,1215833.0,1117929.0,669349.0,1117929.0
37,1094929.0,664999.0,1094929.0,1166297.0,657196.0,1166297.0,1102648.0,661460.0,1102648.0
38,1103892.0,686040.0,1103892.0,1204253.0,682956.0,1204253.0,1173680.0,682595.0,1173680.0
39,1099781.0,679361.0,1099781.0,1200943.0,675278.0,1200943.0,1111269.0,674617.0,1111269.0
40,1107749.0,667859.0,1107749.0,1137686.0,654296.0,1137686.0,1107571.0,660797.0,1107571.0
41,1105022.0,675596.0,1105022.0,1212039.0,666548.0,1212039.0,1111237.0,670448.0,1111237.0
42,1106919.0,679266.0,1106919.0,1218487.0,668696.0,1218487.0,1137164.0,671174.0,1137164.0
43,1111517.0,676645.0,1111517.0,1229244.0,672858.0,1229244.0,1107225.0,678831.0,1107225.0
44,1103952.0,673281.0,1103952.0,1168605.0,671620.0,1168605.0,1104743.0,671687.0,1104743.0
45,1106349.0,671614.0,1106349.0,1207849.0,660587.0,1207849.0,1107441.0,666735.0,1107441.0
46,1102748.0,672324.0,1102748.0,1173250.0,670476.0,1173250.0,1105041.0,675170.0,1105041.0
47,1104230.0,665760.0,1104230.0,1174079.0,660157.0,1174079.0,1105997.0,664864.0,1105997.0
48,1099157.0,674640.0,1099157.0,1158946.0,666369.0,1158946.0,1102384.0,669989.0,1102384.0
