,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,979485.0,873402.0,979485.0,1001813.0,827585.0,1001813.0,1009367.0,827585.0,1009367.0,995552.0,829156.0,995552.0,1015909.0,827585.0,1015909.0,967180.0,873402.0,967180.0
1,954713.0,857258.0,954713.0,972458.0,790456.0,972458.0,1009343.0,812767.0,1009343.0,969995.0,843742.0,969995.0,980612.0,790456.0,980612.0,946994.0,855784.0,946994.0
2,933559.0,866157.0,933559.0,991659.0,829446.0,991659.0,999231.0,837669.0,999231.0,926526.0,844237.0,926526.0,991659.0,829446.0,991659.0,905271.0,866157.0,905271.0
3,921858.0,865193.0,921858.0,929989.0,794857.0,929989.0,918462.0,794857.0,918462.0,931404.0,824916.0,931404.0,925347.0,794857.0,925347.0,952579.0,854553.0,952579.0
4,1023179.0,890071.0,1023179.0,1240903.0,825982.0,1240903.0,1078236.0,833066.0,1078236.0,1041943.0,871436.0,1041943.0,1235529.0,825982.0,1235529.0,1023258.0,891448.0,1023258.0
5,943119.0,790658.0,943119.0,1100806.0,746194.0,1100806.0,1091921.0,746194.0,1091921.0,955565.0,760463.0,955565.0,1095447.0,746194.0,1095447.0,961657.0,786212.0,961657.0
6,953739.0,906711.0,953739.0,1242761.0,846762.0,1242761.0,1168804.0,846762.0,1168804.0,1017742.0,894585.0,1017742.0,1209445.0,846762.0,1209445.0,938443.0,906711.0,938443.0
7,950934.0,901094.0,950934.0,1026079.0,819926.0,1026079.0,978053.0,819926.0,978053.0,967270.0,869676.0,967270.0,1034644.0,819926.0,1034644.0,960017.0,901094.0,960017.0
8,918968.0,875384.0,918968.0,951206.0,809755.0,951206.0,943232.0,810485.0,943232.0,997556.0,859546.0,997556.0,963669.0,809755.0,963669.0,979985.0,864946.0,979985.0
9,908966.0,904667.0,908966.0,945343.0,835383.0,945343.0,1099736.0,844116.0,1099736.0,944094.0,879830.0,944094.0,1125927.0,840007.0,1125927.0,990614.0,904667.0,990614.0
10,977174.0,864682.0,977174.0,1007211.0,799913.0,1007211.0,1041219.0,808377.0,1041219.0,1005724.0,839970.0,1005724.0,1004708.0,799913.0,1004708.0,977174.0,864682.0,977174.0
11,998842.0,865483.0,998842.0,1022471.0,828739.0,1022471.0,1021002.0,828739.0,1021002.0,1026754.0,851957.0,1026754.0,1203051.0,828739.0,1203051.0,1021500.0,866657.0,1021500.0
12,962099.0,808044.0,962099.0,973153.0,762297.0,973153.0,980019.0,762297.0,980019.0,970506.0,803379.0,970506.0,976202.0,762297.0,976202.0,961772.0,805619.0,961772.0
13,945608.0,824765.0,945608.0,1039294.0,776609.0,1039294.0,942650.0,776609.0,942650.0,958404.0,793778.0,958404.0,990075.0,776609.0,990075.0,940761.0,824765.0,940761.0
14,966899.0,850760.0,966899.0,971299.0,781067.0,971299.0,982005.0,783766.0,982005.0,956829.0,826532.0,956829.0,954005.0,781067.0,954005.0,942908.0,847271.0,942908.0
