,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2,jitter
1,706322.0,699818.0,706322.0,758771.0,676534.0,758771.0,752741.0,687462.0,752741.0,0.1
2,731578.0,689517.0,731578.0,739330.0,680851.0,739330.0,734685.0,681443.0,734685.0,0.1
3,732673.0,696644.0,732673.0,757925.0,675960.0,757925.0,744491.0,696644.0,744491.0,0.1
4,710726.0,696855.0,710726.0,747157.0,677269.0,747157.0,749495.0,677269.0,749495.0,0.1
5,723206.0,701245.0,723206.0,761287.0,681305.0,761287.0,762479.0,681625.0,762479.0,0.1
6,729810.0,690991.0,729810.0,797571.0,676136.0,797571.0,778864.0,684183.0,778864.0,0.1
7,726097.0,687914.0,726097.0,756181.0,674661.0,756181.0,752326.0,687914.0,752326.0,0.1
8,724708.0,676305.0,724708.0,752687.0,676305.0,752687.0,752687.0,676305.0,752687.0,0.1
9,720461.0,700417.0,720461.0,772891.0,679107.0,772891.0,769511.0,679219.0,769511.0,0.1
10,734019.0,690704.0,734019.0,739331.0,678141.0,739331.0,743428.0,678141.0,743428.0,0.1
11,709082.0,685674.0,709082.0,751065.0,685674.0,751065.0,754340.0,685674.0,754340.0,0.1
12,721134.0,680771.0,721134.0,791572.0,667014.0,791572.0,769106.0,667014.0,769106.0,0.1
13,729420.0,692805.0,729420.0,744039.0,662846.0,744039.0,740667.0,687217.0,740667.0,0.1
14,732113.0,703841.0,732113.0,760264.0,683811.0,760264.0,754210.0,686851.0,754210.0,0.1
15,722323.0,702838.0,722323.0,747905.0,678904.0,747905.0,965937.0,700775.0,965937.0,0.1
16,719027.0,694751.0,719027.0,765676.0,669719.0,765676.0,753533.0,669764.0,753533.0,0.1
17,721143.0,681861.0,721143.0,739943.0,658292.0,739943.0,735317.0,680840.0,735317.0,0.1
18,713979.0,658306.0,713979.0,746938.0,658306.0,746938.0,739204.0,658306.0,739204.0,0.1
19,728616.0,704061.0,728616.0,737884.0,677743.0,737884.0,749301.0,677743.0,749301.0,0.1
20,721942.0,687217.0,721942.0,781316.0,659016.0,781316.0,764731.0,671186.0,764731.0,0.1
21,717887.0,687388.0,717887.0,755073.0,685007.0,755073.0,735439.0,685669.0,735439.0,0.1
22,717052.0,701817.0,717052.0,750308.0,681687.0,750308.0,757142.0,681713.0,757142.0,0.1
23,729993.0,702256.0,729993.0,754880.0,677913.0,754880.0,743964.0,701574.0,743964.0,0.1
24,716669.0,681201.0,716669.0,747339.0,658032.0,747339.0,730593.0,670090.0,730593.0,0.1
25,721514.0,677219.0,721514.0,746974.0,675990.0,746974.0,762063.0,675990.0,762063.0,0.1
26,719227.0,679803.0,719227.0,749270.0,669916.0,749270.0,755839.0,669916.0,755839.0,0.1
27,723353.0,683025.0,723353.0,767729.0,669033.0,767729.0,770998.0,669033.0,770998.0,0.1
28,730122.0,699421.0,730122.0,768026.0,676168.0,768026.0,784049.0,697678.0,784049.0,0.1
29,717315.0,687720.0,717315.0,746996.0,674182.0,746996.0,759803.0,674182.0,759803.0,0.1
30,721344.0,712267.0,721344.0,775429.0,690014.0,775429.0,767037.0,711369.0,767037.0,0.1
31,713907.0,704105.0,713907.0,781935.0,680887.0,781935.0,781935.0,699298.0,781935.0,0.1
32,718809.0,676082.0,718809.0,774027.0,660990.0,774027.0,775258.0,661830.0,775258.0,0.1
33,718044.0,684902.0,718044.0,769142.0,659689.0,769142.0,762835.0,670926.0,762835.0,0.1
34,712666.0,679005.0,712666.0,744428.0,678813.0,744428.0,754700.0,679005.0,754700.0,0.1
35,720638.0,678960.0,720638.0,772564.0,678960.0,772564.0,770890.0,678960.0,770890.0,0.1
36,721485.0,691456.0,721485.0,742032.0,684894.0,742032.0,742181.0,684894.0,742181.0,0.1
37,734912.0,687781.0,734912.0,792406.0,686238.0,792406.0,790687.0,686238.0,790687.0,0.1
38,720335.0,686831.0,720335.0,761523.0,683683.0,761523.0,761523.0,684386.0,761523.0,0.1
39,720102.0,688319.0,720102.0,755895.0,668445.0,755895.0,755895.0,668787.0,755895.0,0.1
40,711110.0,682590.0,711110.0,739661.0,678375.0,739661.0,742098.0,681447.0,742098.0,0.1
41,717740.0,704835.0,717740.0,778851.0,680586.0,778851.0,758342.0,693827.0,758342.0,0.1
42,718312.0,677496.0,718312.0,779906.0,659589.0,779906.0,779078.0,660688.0,779078.0,0.1
43,738348.0,705591.0,738348.0,754996.0,673107.0,754996.0,754996.0,673107.0,754996.0,0.1
44,739478.0,694155.0,739478.0,750893.0,663942.0,750893.0,759923.0,687768.0,759923.0,0.1
45,709849.0,709849.0,707653.0,754539.0,684622.0,754539.0,749176.0,685301.0,749176.0,0.1
46,724491.0,700068.0,724491.0,771423.0,677464.0,771423.0,770429.0,697717.0,770429.0,0.1
47,716852.0,686735.0,716852.0,753145.0,679164.0,753145.0,748326.0,679164.0,748326.0,0.1
48,732100.0,703345.0,732100.0,756284.0,682520.0,756284.0,745873.0,703284.0,745873.0,0.1
49,722768.0,703515.0,722768.0,747451.0,681358.0,747451.0,751604.0,703117.0,751604.0,0.1
50,718129.0,694145.0,718129.0,755924.0,669560.0,755924.0,733483.0,693451.0,733483.0,0.1
51,720081.0,706208.0,720081.0,742395.0,683819.0,742395.0,722645.0,704503.0,722645.0,0.1
52,714602.0,699445.0,714602.0,756876.0,676035.0,756876.0,756876.0,677906.0,756876.0,0.1
53,705680.0,676113.0,705680.0,737725.0,653009.0,737725.0,736476.0,674660.0,736476.0,0.1
54,723148.0,687884.0,723148.0,792324.0,666194.0,792324.0,779105.0,666263.0,779105.0,0.1
55,731899.0,686700.0,731899.0,760106.0,666386.0,760106.0,760502.0,666386.0,760502.0,0.1
56,707230.0,706336.0,707230.0,754690.0,684783.0,754690.0,750259.0,705147.0,750259.0,0.1
57,737906.0,705571.0,737906.0,753563.0,677942.0,753563.0,768774.0,689592.0,768774.0,0.1
58,731988.0,690397.0,731988.0,765073.0,684963.0,765073.0,768050.0,688430.0,768050.0,0.1
59,744308.0,701978.0,744308.0,764685.0,666141.0,764685.0,786890.0,687396.0,786890.0,0.1
60,722772.0,674717.0,722772.0,760844.0,674717.0,760844.0,758546.0,674717.0,758546.0,0.1
61,719679.0,682189.0,719679.0,750875.0,667405.0,750875.0,755046.0,667405.0,755046.0,0.1
62,725927.0,679996.0,725927.0,735613.0,676533.0,735613.0,738673.0,676533.0,738673.0,0.1
63,731719.0,705887.0,731719.0,757594.0,680351.0,757594.0,757594.0,697114.0,757594.0,0.1
64,724834.0,695364.0,724834.0,746786.0,674584.0,746786.0,760167.0,695318.0,760167.0,0.1
65,721325.0,678955.0,721325.0,769457.0,665818.0,769457.0,770514.0,666557.0,770514.0,0.1
66,719037.0,706149.0,719037.0,794245.0,680878.0,794245.0,751514.0,702769.0,751514.0,0.1
67,706233.0,682706.0,706233.0,738707.0,672233.0,738707.0,740279.0,680171.0,740279.0,0.1
68,716584.0,681742.0,716584.0,750877.0,663285.0,750877.0,750530.0,663285.0,750530.0,0.1
69,731386.0,706675.0,731386.0,761812.0,682413.0,761812.0,780096.0,705864.0,780096.0,0.1
70,728490.0,687647.0,728490.0,765689.0,676707.0,765689.0,759555.0,676707.0,759555.0,0.1
71,715910.0,686782.0,715910.0,760137.0,669882.0,760137.0,752518.0,669882.0,752518.0,0.1
72,737460.0,706606.0,737460.0,770727.0,682419.0,770727.0,768770.0,704922.0,768770.0,0.1
73,736278.0,708201.0,736278.0,760781.0,686243.0,760781.0,761331.0,707929.0,761331.0,0.1
74,714972.0,683494.0,714972.0,734507.0,662239.0,734507.0,744857.0,683400.0,744857.0,0.1
75,717564.0,669068.0,717564.0,754569.0,651731.0,754569.0,747299.0,651848.0,747299.0,0.1
76,741720.0,694602.0,741720.0,767137.0,676746.0,767137.0,767137.0,676746.0,767137.0,0.1
77,742753.0,696307.0,742753.0,768935.0,678155.0,768935.0,769444.0,678155.0,769444.0,0.1
78,717337.0,704830.0,717337.0,741908.0,681232.0,741908.0,753983.0,681232.0,753983.0,0.1
79,736462.0,707108.0,736462.0,754911.0,684466.0,754911.0,756012.0,706951.0,756012.0,0.1
80,715837.0,671570.0,715837.0,748253.0,670783.0,748253.0,748253.0,670783.0,748253.0,0.1
81,716768.0,677677.0,716768.0,789979.0,675718.0,789979.0,789979.0,675718.0,789979.0,0.1
