,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
0,1124009.0,708898.0,1124009.0,1135222.0,703731.0,1135222.0,1122335.0,703861.0,1122335.0
1,1091348.0,711115.0,1091348.0,1207767.0,694938.0,1207767.0,1209804.0,689743.0,1209804.0
2,1125269.0,696293.0,1125269.0,1207327.0,691420.0,1207327.0,1121153.0,701823.0,1121153.0
3,1135920.0,703706.0,1135920.0,1195212.0,706680.0,1195212.0,1133343.0,698783.0,1133343.0
4,1123466.0,689537.0,1123466.0,1186930.0,674396.0,1186930.0,1122249.0,678985.0,1122249.0
5,1103897.0,684214.0,1103897.0,1182777.0,668700.0,1182777.0,1156223.0,687965.0,1156223.0
6,1126964.0,688754.0,1126964.0,1206325.0,688159.0,1206325.0,1197165.0,687668.0,1197165.0
7,1118485.0,701188.0,1118485.0,1188066.0,696105.0,1188066.0,1117171.0,713493.0,1117171.0
8,1112335.0,679565.0,1112335.0,1171752.0,675382.0,1171752.0,1115092.0,685461.0,1115092.0
9,1131140.0,692699.0,1131140.0,1259209.0,676467.0,1259209.0,1200870.0,673459.0,1200870.0
10,1125242.0,729704.0,1125242.0,1173545.0,726665.0,1173545.0,1132385.0,727141.0,1132385.0
11,1128495.0,700805.0,1128495.0,1263157.0,696653.0,1263157.0,1123772.0,692223.0,1123772.0
12,1144707.0,675168.0,1144707.0,1182636.0,661773.0,1182636.0,1165435.0,666005.0,1165435.0
13,1087430.0,686133.0,1087430.0,1193641.0,679327.0,1193641.0,1133640.0,691002.0,1133640.0
14,1122641.0,699871.0,1122641.0,1194870.0,694422.0,1194870.0,1188516.0,686031.0,1188516.0
15,1115628.0,693637.0,1115628.0,1219485.0,680860.0,1219485.0,1157428.0,697930.0,1157428.0
16,1137473.0,687289.0,1137473.0,1142912.0,684482.0,1142912.0,1141521.0,685100.0,1141521.0
17,1119738.0,692579.0,1119738.0,1169632.0,687611.0,1169632.0,1120364.0,689834.0,1120364.0
18,1110881.0,674366.0,1110881.0,1201444.0,674056.0,1201444.0,1163731.0,676346.0,1163731.0
19,1133302.0,675470.0,1133302.0,1207919.0,678547.0,1207919.0,1131181.0,680303.0,1131181.0
