,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
29,1135775.0,740541.0,1135775.0,1209128.0,735741.0,1209128.0,1136044.0,735741.0,1136044.0,1134862.0,741823.0,1134862.0,1175713.0,735741.0,1175713.0,1135775.0,740541.0,1135775.0
30,1179204.0,782845.0,1179204.0,1274316.0,782948.0,1274316.0,1171138.0,782816.0,1171138.0,1174517.0,784180.0,1174517.0,1186479.0,784282.0,1186479.0,1179204.0,782845.0,1179204.0
31,1161349.0,735832.0,1161349.0,1236312.0,733830.0,1236312.0,1156829.0,733212.0,1156829.0,1154278.0,735829.0,1154278.0,1256882.0,734091.0,1256882.0,1161349.0,735832.0,1161349.0
32,1145783.0,766800.0,1145783.0,1266117.0,755984.0,1266117.0,1141610.0,761528.0,1141610.0,1141757.0,764009.0,1141757.0,1228135.0,762460.0,1228135.0,1145783.0,766800.0,1145783.0
33,1124855.0,717592.0,1124855.0,1295156.0,717141.0,1295156.0,1107718.0,717592.0,1107718.0,1121027.0,717592.0,1121027.0,1271230.0,717141.0,1271230.0,1124855.0,717592.0,1124855.0
34,1163647.0,756547.0,1163647.0,1249962.0,749384.0,1249962.0,1162865.0,748778.0,1162865.0,1168444.0,752190.0,1168444.0,1236328.0,748539.0,1236328.0,1163647.0,756547.0,1163647.0
35,1150947.0,734663.0,1150947.0,1270460.0,736191.0,1270460.0,1145745.0,730535.0,1145745.0,1158647.0,734173.0,1158647.0,1280036.0,730535.0,1280036.0,1150947.0,734663.0,1150947.0
36,1174792.0,760227.0,1174792.0,1243162.0,758477.0,1243162.0,1182769.0,752850.0,1182769.0,1181812.0,752784.0,1181812.0,1288303.0,754369.0,1288303.0,1174792.0,760227.0,1174792.0
37,1144999.0,795002.0,1144999.0,1265122.0,791866.0,1265122.0,1142457.0,793928.0,1142457.0,1140255.0,793928.0,1140255.0,1249329.0,791110.0,1249329.0,1144999.0,795002.0,1144999.0
38,1171856.0,784610.0,1171856.0,1404613.0,755964.0,1404613.0,1171422.0,756692.0,1171422.0,1176527.0,778728.0,1176527.0,1317139.0,761577.0,1317139.0,1171856.0,784610.0,1171856.0
