,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT1_MAKESPAN,PT1_C1,PT1_C2,PT2_MAKESPAN,PT2_C1,PT2_C2,PT3_MAKESPAN,PT3_C1,PT3_C2,PT6_MAKESPAN,PT6_C1,PT6_C2
0,848535.0,834792.0,848535.0,1131840.0,833319.0,1131840.0,1188910.0,834792.0,1188910.0,1140280.0,834760.0,1140280.0,1188926.0,833319.0,1188926.0,848818.0,835190.0,848818.0
1,863150.0,809579.0,863150.0,1069721.0,806965.0,1069721.0,1115887.0,806965.0,1115887.0,1264724.0,808942.0,1264724.0,1076377.0,806965.0,1076377.0,863018.0,808942.0,863018.0
2,838283.0,838283.0,805442.0,838283.0,838283.0,814759.0,838283.0,838283.0,801199.0,1096023.0,838283.0,1096023.0,1205882.0,838283.0,1205882.0,838283.0,838283.0,802096.0
3,843868.0,843868.0,757234.0,926754.0,843868.0,926754.0,1029847.0,843868.0,1029847.0,981136.0,843868.0,981136.0,973799.0,843868.0,973799.0,843868.0,843868.0,809871.0
4,873233.0,809206.0,873233.0,1046775.0,809206.0,1046775.0,1046775.0,809206.0,1046775.0,1175733.0,809206.0,1175733.0,1105493.0,809206.0,1105493.0,847767.0,809206.0,847767.0
5,839405.0,839405.0,809428.0,1204374.0,820097.0,1204374.0,1204374.0,820097.0,1204374.0,1289459.0,823642.0,1289459.0,1204374.0,820097.0,1204374.0,829593.0,823642.0,829593.0
6,856125.0,856125.0,849289.0,1211625.0,855995.0,1211625.0,1338037.0,855995.0,1338037.0,1218644.0,856125.0,1218644.0,1211625.0,855995.0,1211625.0,856740.0,856740.0,846313.0
7,882038.0,809847.0,882038.0,913352.0,809847.0,913352.0,985393.0,809847.0,985393.0,1250811.0,809847.0,1250811.0,1249103.0,809847.0,1249103.0,884700.0,809847.0,884700.0
8,828930.0,824629.0,828930.0,1038913.0,815102.0,1038913.0,1227170.0,817846.0,1227170.0,842011.0,817418.0,842011.0,981093.0,815102.0,981093.0,822439.0,818031.0,822439.0
9,810977.0,810977.0,770669.0,1184989.0,798396.0,1184989.0,962758.0,798396.0,962758.0,1191008.0,803634.0,1191008.0,1112516.0,798396.0,1112516.0,803634.0,803634.0,758275.0
10,861806.0,861806.0,834953.0,1080349.0,861806.0,1080349.0,861806.0,861806.0,860964.0,1016608.0,861806.0,1016608.0,1205737.0,861806.0,1205737.0,861806.0,861806.0,831402.0
11,836682.0,805836.0,836682.0,1038466.0,782937.0,1038466.0,1109629.0,782937.0,1109629.0,1211836.0,802781.0,1211836.0,1116010.0,782937.0,1116010.0,837146.0,785788.0,837146.0
12,928516.0,814910.0,928516.0,1080149.0,804617.0,1080149.0,1070515.0,811121.0,1070515.0,1107452.0,807758.0,1107452.0,1063551.0,804617.0,1063551.0,928868.0,808017.0,928868.0
13,870193.0,870193.0,825794.0,870134.0,870134.0,848029.0,870134.0,870134.0,853289.0,870193.0,870193.0,825326.0,870134.0,870134.0,853289.0,870193.0,870193.0,826372.0
14,909443.0,850707.0,909443.0,1347815.0,850707.0,1347815.0,1287240.0,850707.0,1287240.0,1022831.0,850707.0,1022831.0,1287000.0,850707.0,1287000.0,909443.0,850707.0,909443.0
15,803294.0,803294.0,800183.0,981592.0,802300.0,981592.0,1087894.0,802300.0,1087894.0,948721.0,804657.0,948721.0,936061.0,802300.0,936061.0,802388.0,802388.0,786746.0
16,892541.0,818784.0,892541.0,1298160.0,818784.0,1298160.0,1280714.0,818784.0,1280714.0,1283423.0,818784.0,1283423.0,1277448.0,818784.0,1277448.0,887124.0,818784.0,887124.0
17,872183.0,833423.0,872183.0,958325.0,832781.0,958325.0,968030.0,833434.0,968030.0,1018292.0,832781.0,1018292.0,958325.0,832781.0,958325.0,875310.0,833423.0,875310.0
18,877689.0,877689.0,851735.0,1202242.0,877689.0,1202242.0,1202242.0,877689.0,1202242.0,1202242.0,877689.0,1202242.0,1202242.0,877689.0,1202242.0,877689.0,877689.0,847179.0
19,870507.0,751415.0,870507.0,1099329.0,751415.0,1099329.0,872553.0,751415.0,872553.0,1142871.0,751415.0,1142871.0,1145173.0,751415.0,1145173.0,879995.0,751415.0,879995.0
20,883718.0,858833.0,883718.0,1067637.0,858833.0,1067637.0,1052660.0,858833.0,1052660.0,901421.0,858833.0,901421.0,1051173.0,858833.0,1051173.0,886313.0,858833.0,886313.0
21,844008.0,828048.0,844008.0,1234871.0,825221.0,1234871.0,1253221.0,825221.0,1253221.0,1176540.0,827354.0,1176540.0,1234871.0,825221.0,1234871.0,841958.0,825221.0,841958.0
22,883625.0,806057.0,883625.0,1183362.0,803895.0,1183362.0,969898.0,804499.0,969898.0,972694.0,804499.0,972694.0,1183362.0,804499.0,1183362.0,884031.0,806283.0,884031.0
23,934289.0,822749.0,934289.0,1139365.0,818160.0,1139365.0,1139365.0,820296.0,1139365.0,1216520.0,819516.0,1216520.0,1139365.0,819516.0,1139365.0,931040.0,820296.0,931040.0
