,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,PT_MAKESPAN,PT_C1,PT_C2
0,1130822.0,706793.0,1130822.0,1244423.0,704208.0,1244423.0,1195115.0,705013.0,1195115.0
1,1116932.0,672918.0,1116932.0,1133579.0,657636.0,1133579.0,1116406.0,663833.0,1116406.0
2,1145172.0,699521.0,1145172.0,1202748.0,700244.0,1202748.0,1150262.0,700177.0,1150262.0
3,1132761.0,700361.0,1132761.0,1232180.0,691907.0,1232180.0,1201381.0,707404.0,1201381.0
4,1111342.0,706637.0,1111342.0,1265068.0,706035.0,1265068.0,1126934.0,713071.0,1126934.0
5,1123936.0,704221.0,1123936.0,1223296.0,696319.0,1223296.0,1243382.0,708106.0,1243382.0
6,1116603.0,695334.0,1116603.0,1218425.0,694205.0,1218425.0,1252861.0,692866.0,1252861.0
7,1116070.0,699174.0,1116070.0,1178767.0,700581.0,1178767.0,1116671.0,699466.0,1116671.0
8,1127544.0,701808.0,1127544.0,1266747.0,699676.0,1266747.0,1122303.0,701689.0,1122303.0
9,1106393.0,691927.0,1106393.0,1200384.0,660822.0,1200384.0,1107282.0,665567.0,1107282.0
10,1098798.0,696738.0,1098798.0,1150263.0,678868.0,1150263.0,1101888.0,694333.0,1101888.0
11,1102424.0,686957.0,1102424.0,1245061.0,683067.0,1245061.0,1248993.0,685114.0,1248993.0
12,1122943.0,678489.0,1122943.0,1140587.0,653493.0,1140587.0,1195346.0,652658.0,1195346.0
13,1104794.0,677074.0,1104794.0,1194749.0,675545.0,1194749.0,1113704.0,671719.0,1113704.0
14,1142550.0,712927.0,1142550.0,1266632.0,702976.0,1266632.0,1138821.0,710467.0,1138821.0
15,1117577.0,675041.0,1117577.0,1247855.0,671477.0,1247855.0,1188748.0,674077.0,1188748.0
16,1122709.0,686142.0,1122709.0,1212884.0,685402.0,1212884.0,1174500.0,695110.0,1174500.0
17,1082772.0,653479.0,1082772.0,1156480.0,651936.0,1156480.0,1106445.0,662801.0,1106445.0
18,1127748.0,718355.0,1127748.0,1246574.0,714852.0,1246574.0,1175407.0,715755.0,1175407.0
19,1119770.0,675018.0,1119770.0,1244407.0,680717.0,1244407.0,1108876.0,677560.0,1108876.0
20,1134104.0,690725.0,1134104.0,1251126.0,672681.0,1251126.0,1253112.0,690526.0,1253112.0
21,1104233.0,690143.0,1104233.0,1193389.0,677504.0,1193389.0,1147593.0,681655.0,1147593.0
22,1109271.0,695524.0,1109271.0,1240945.0,700411.0,1240945.0,1111388.0,694952.0,1111388.0
23,1111147.0,695545.0,1111147.0,1212733.0,684376.0,1212733.0,1194123.0,694743.0,1194123.0
24,1117225.0,692184.0,1117225.0,1223974.0,691467.0,1223974.0,1116323.0,689574.0,1116323.0
25,1134449.0,713324.0,1134449.0,1265106.0,709123.0,1265106.0,1137231.0,709839.0,1137231.0
26,1121710.0,671399.0,1121710.0,1161951.0,671740.0,1161951.0,1176066.0,671714.0,1176066.0
27,1130808.0,682893.0,1130808.0,1122000.0,686763.0,1122000.0,1148842.0,684288.0,1148842.0
28,1109139.0,669085.0,1109139.0,1190641.0,663662.0,1190641.0,1121606.0,670615.0,1121606.0
29,1138999.0,694231.0,1138999.0,1282207.0,687294.0,1282207.0,1171414.0,693450.0,1171414.0
30,1146420.0,665337.0,1146420.0,1230650.0,657522.0,1230650.0,1151801.0,657291.0,1151801.0
31,1106251.0,682109.0,1106251.0,1196062.0,681263.0,1196062.0,1117035.0,682836.0,1117035.0
32,1111849.0,681645.0,1111849.0,1254520.0,674965.0,1254520.0,1113922.0,681022.0,1113922.0
33,1123068.0,683928.0,1123068.0,1149422.0,679206.0,1149422.0,1126724.0,689189.0,1126724.0
34,1132485.0,720730.0,1132485.0,1271406.0,670764.0,1271406.0,1290983.0,676212.0,1290983.0
35,1121665.0,708134.0,1121665.0,1198976.0,707272.0,1198976.0,1248268.0,701735.0,1248268.0
36,1096317.0,660799.0,1096317.0,1195762.0,652967.0,1195762.0,1103653.0,657779.0,1103653.0
37,1116460.0,698188.0,1116460.0,1258836.0,690974.0,1258836.0,1218181.0,692646.0,1218181.0
38,1117586.0,680117.0,1117586.0,1237397.0,685828.0,1237397.0,1172227.0,678479.0,1172227.0
39,1133229.0,687207.0,1133229.0,1241043.0,689041.0,1241043.0,1213122.0,688236.0,1213122.0
40,1115961.0,663530.0,1115961.0,1200091.0,665288.0,1200091.0,1118815.0,663820.0,1118815.0
41,1107328.0,687011.0,1107328.0,1221400.0,680747.0,1221400.0,1207111.0,696166.0,1207111.0
42,1113811.0,702941.0,1113811.0,1223972.0,677169.0,1223972.0,1180295.0,679501.0,1180295.0
43,1119771.0,675977.0,1119771.0,1183828.0,658515.0,1183828.0,1204729.0,654039.0,1204729.0
44,1115193.0,669825.0,1115193.0,1186790.0,674719.0,1186790.0,1165889.0,668512.0,1165889.0
45,1092149.0,719313.0,1092149.0,1165544.0,714859.0,1165544.0,1119224.0,713464.0,1119224.0
46,1130142.0,676332.0,1130142.0,1164369.0,669494.0,1164369.0,1126233.0,676625.0,1126233.0
47,1125950.0,699995.0,1125950.0,1196811.0,680049.0,1196811.0,1248682.0,684086.0,1248682.0
48,1111616.0,675302.0,1111616.0,1177243.0,678987.0,1177243.0,1113200.0,678374.0,1113200.0
49,1118318.0,694352.0,1118318.0,1202087.0,686472.0,1202087.0,1120712.0,688734.0,1120712.0
50,1113012.0,709872.0,1113012.0,1213826.0,710588.0,1213826.0,1107670.0,709905.0,1107670.0
51,1127509.0,689803.0,1127509.0,1232807.0,699480.0,1232807.0,1189771.0,690930.0,1189771.0
52,1140184.0,712205.0,1140184.0,1181946.0,711913.0,1181946.0,1134221.0,707510.0,1134221.0
53,1089102.0,682172.0,1089102.0,1220319.0,670054.0,1220319.0,1146094.0,674347.0,1146094.0
54,1114441.0,714808.0,1114441.0,1134032.0,709926.0,1134032.0,1171520.0,702770.0,1171520.0
55,1110971.0,707184.0,1110971.0,1282804.0,708462.0,1282804.0,1170903.0,706959.0,1170903.0
56,1114484.0,693196.0,1114484.0,1195744.0,691859.0,1195744.0,1123196.0,690433.0,1123196.0
57,1135815.0,675363.0,1135815.0,1135035.0,670010.0,1135035.0,1126719.0,672995.0,1126719.0
58,1100819.0,668319.0,1100819.0,1226788.0,666214.0,1226788.0,1099458.0,665936.0,1099458.0
59,1107378.0,688819.0,1107378.0,1181951.0,691212.0,1181951.0,1110219.0,687153.0,1110219.0
60,1093767.0,664026.0,1093767.0,1187980.0,668733.0,1187980.0,1159090.0,678965.0,1159090.0
61,1110014.0,682823.0,1110014.0,1201047.0,679087.0,1201047.0,1117428.0,696387.0,1117428.0
62,1143024.0,698389.0,1143024.0,1207941.0,680413.0,1207941.0,1139674.0,687319.0,1139674.0
63,1127519.0,688091.0,1127519.0,1276303.0,675494.0,1276303.0,1129989.0,676296.0,1129989.0
64,1138865.0,721680.0,1138865.0,1280714.0,689894.0,1280714.0,1255906.0,681074.0,1255906.0
65,1127651.0,682512.0,1127651.0,1228720.0,668816.0,1228720.0,1206726.0,664376.0,1206726.0
66,1114669.0,711694.0,1114669.0,1236076.0,706756.0,1236076.0,1125169.0,701871.0,1125169.0
67,1127774.0,689156.0,1127774.0,1174355.0,676968.0,1174355.0,1144779.0,679717.0,1144779.0
68,1091226.0,665573.0,1091226.0,1159124.0,659719.0,1159124.0,1091959.0,658725.0,1091959.0
69,1098908.0,694125.0,1098908.0,1223045.0,694471.0,1223045.0,1126916.0,694310.0,1126916.0
