,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
86,1123929.0,737152.0,1123929.0,1163260.0,730766.0,1163260.0,1145825.0,735492.0,1145825.0
87,1125254.0,712332.0,1125254.0,1249712.0,707116.0,1249712.0,1117939.0,709418.0,1117939.0
88,1180727.0,774860.0,1180727.0,1391060.0,793246.0,1391060.0,1368600.0,779839.0,1368600.0
89,1127729.0,747725.0,1127729.0,1258458.0,739714.0,1258458.0,1207578.0,744145.0,1207578.0
90,1178028.0,731502.0,1178028.0,1388370.0,729975.0,1388370.0,1327940.0,730093.0,1327940.0
91,1131076.0,759760.0,1131076.0,1251791.0,756455.0,1251791.0,1317552.0,752971.0,1317552.0
92,1138608.0,740840.0,1138608.0,1221948.0,744333.0,1221948.0,1193151.0,741785.0,1193151.0
93,1157473.0,743109.0,1157473.0,1201374.0,739980.0,1201374.0,1161718.0,744873.0,1161718.0
94,1124919.0,781590.0,1124919.0,1308846.0,769073.0,1308846.0,1271686.0,776055.0,1271686.0
95,1131292.0,732279.0,1131292.0,1274108.0,728771.0,1274108.0,1223523.0,725672.0,1223523.0
96,1127134.0,720190.0,1127134.0,1193119.0,719487.0,1193119.0,1178480.0,720523.0,1178480.0
97,1137622.0,763611.0,1137622.0,1223241.0,781931.0,1223241.0,1194129.0,777908.0,1194129.0
98,1132213.0,788141.0,1132213.0,1307241.0,783155.0,1307241.0,1329101.0,784042.0,1329101.0
99,1128624.0,737161.0,1128624.0,1202949.0,736263.0,1202949.0,1139705.0,740287.0,1139705.0
100,1121616.0,759564.0,1121616.0,1131183.0,762389.0,1131183.0,1146049.0,758981.0,1146049.0
101,1148124.0,739606.0,1148124.0,1251569.0,738086.0,1251569.0,1258644.0,740491.0,1258644.0
102,1181219.0,730078.0,1181219.0,1272693.0,728803.0,1272693.0,1314749.0,733320.0,1314749.0
103,1159419.0,773138.0,1159419.0,1270667.0,770719.0,1270667.0,1223569.0,770459.0,1223569.0
104,1139835.0,751937.0,1139835.0,1355045.0,741490.0,1355045.0,1330871.0,740770.0,1330871.0
105,1173866.0,750292.0,1173866.0,1293850.0,750703.0,1293850.0,1251350.0,749965.0,1251350.0
106,1114157.0,776151.0,1114157.0,1200567.0,777527.0,1200567.0,1126062.0,777058.0,1126062.0
107,1184281.0,732910.0,1184281.0,1209724.0,729892.0,1209724.0,1215611.0,748133.0,1215611.0
108,1165804.0,764080.0,1165804.0,1333617.0,760296.0,1333617.0,1214450.0,760835.0,1214450.0
109,1155944.0,766248.0,1155944.0,1166804.0,759801.0,1166804.0,1151140.0,759643.0,1151140.0
110,1132789.0,740208.0,1132789.0,1210447.0,738479.0,1210447.0,1174821.0,743300.0,1174821.0
111,1133400.0,755896.0,1133400.0,1259201.0,753355.0,1259201.0,1225242.0,757851.0,1225242.0
112,1150921.0,762874.0,1150921.0,1187944.0,762926.0,1187944.0,1195138.0,762293.0,1195138.0
113,1160479.0,796301.0,1160479.0,1311844.0,783604.0,1311844.0,1348717.0,790929.0,1348717.0
114,1130273.0,748791.0,1130273.0,1240042.0,746720.0,1240042.0,1128560.0,749809.0,1128560.0
115,1170259.0,751688.0,1170259.0,1317687.0,748847.0,1317687.0,1282494.0,751290.0,1282494.0
116,1141710.0,719183.0,1141710.0,1175836.0,714560.0,1175836.0,1278584.0,715620.0,1278584.0
117,1136410.0,755473.0,1136410.0,1301378.0,753522.0,1301378.0,1219596.0,755772.0,1219596.0
118,1126672.0,733039.0,1126672.0,1182967.0,734809.0,1182967.0,1343642.0,733596.0,1343642.0
119,1152220.0,792100.0,1152220.0,1179963.0,800882.0,1179963.0,1406693.0,787357.0,1406693.0
120,1132908.0,702232.0,1132908.0,1131847.0,699419.0,1131847.0,1329322.0,700562.0,1329322.0
121,1183231.0,804084.0,1183231.0,1190989.0,793852.0,1190989.0,1270138.0,796659.0,1270138.0
122,1157076.0,757286.0,1157076.0,1244389.0,749345.0,1244389.0,1319798.0,756131.0,1319798.0
123,1182576.0,718306.0,1182576.0,1224448.0,716069.0,1224448.0,1314865.0,719031.0,1314865.0
124,1152615.0,743869.0,1152615.0,1225332.0,736250.0,1225332.0,1291060.0,743963.0,1291060.0
125,1109491.0,783466.0,1109491.0,1261201.0,778294.0,1261201.0,1335799.0,776356.0,1335799.0
126,1146935.0,764897.0,1146935.0,1228531.0,762535.0,1228531.0,1319030.0,764458.0,1319030.0
127,1144946.0,737579.0,1144946.0,1200903.0,732023.0,1200903.0,1170031.0,741425.0,1170031.0
128,1122868.0,749770.0,1122868.0,1163481.0,752879.0,1163481.0,1198410.0,748204.0,1198410.0
129,1142560.0,749557.0,1142560.0,1191820.0,745749.0,1191820.0,1142058.0,748189.0,1142058.0
130,1126547.0,781824.0,1126547.0,1204174.0,780845.0,1204174.0,1182020.0,777016.0,1182020.0
131,1143841.0,757083.0,1143841.0,1234051.0,763121.0,1234051.0,1232632.0,755872.0,1232632.0
132,1149640.0,760916.0,1149640.0,1269073.0,755610.0,1269073.0,1336899.0,760520.0,1336899.0
133,1175537.0,795681.0,1175537.0,1223789.0,783470.0,1223789.0,1242815.0,783134.0,1242815.0
134,1107996.0,721688.0,1107996.0,1133545.0,713375.0,1133545.0,1231703.0,713291.0,1231703.0
