,jiter_rate,dag_count,core_num,dag_set_id,fifo,self_s,self_d,self_opt,self_s_impro,self_d_impro,self_opt_impro,S_D_impro,S_opt_impro
1,0.1,2.0,2.0,0.0,539460.9049476827,539460.9049476827,539460.9049476827,539460.9049476827,0.0,0.0,0.0,0.0,0.0
2,0.1,2.0,2.0,1.0,725160.9726018042,706504.9726018042,706504.9726018042,730174.2925277893,2.572670166330678,2.572670166330678,-0.6913389047948598,0.0,-3.3501986318396964
3,0.1,2.0,2.0,2.0,706044.373730758,673890.373730758,673890.373730758,705563.1103520836,4.554104698844546,4.554104698844546,0.06816333315304082,0.0,-4.699983536785159
4,0.1,2.0,2.0,3.0,297425.9096529527,297425.9096529527,297425.9096529527,297425.9096529527,0.0,0.0,0.0,0.0,0.0
5,0.1,2.0,2.0,4.0,494777.7417981862,490680.7417981862,492903.7417981862,509927.7417981862,0.8280485668393539,0.3787559224449473,-3.0619809098404227,-0.4530440693175412,-3.9225097625527283
6,0.1,2.0,2.0,5.0,723216.0182621003,711939.0182621003,711939.0182621003,722182.0182621003,1.5592851534315864,1.5592851534315864,0.1429724969981609,0.0,-1.4387468220247257
7,0.1,2.0,2.0,6.0,830773.157403369,825366.157403369,822453.157403369,827670.157403369,0.650839516396979,1.0014767479975708,0.3735074938745748,0.35293426727894933,-0.2791488334399929
8,0.1,2.0,2.0,7.0,510546.6606148459,510546.6606148459,510546.6606148459,510546.6606148459,0.0,0.0,0.0,0.0,0.0
9,0.1,2.0,2.0,8.0,670259.44250089,666435.44250089,666435.44250089,666435.44250089,0.5705253454888735,0.5705253454888735,0.5705253454888735,0.0,0.0
10,0.1,2.0,2.0,9.0,648686.0876466347,610329.0876466347,610329.0876466347,610329.0876466347,5.913029542402426,5.913029542402426,5.913029542402426,0.0,0.0
11,0.1,2.0,2.0,10.0,999658.202930483,985383.3901504921,992010.3901504921,994377.202930483,1.427969353739564,0.7650427673750395,0.5282805647489139,-0.6725301102333271,-0.9127221820348912
12,0.1,2.0,2.0,11.0,733170.037593843,726337.037593843,721798.037593843,722960.037593843,0.9319802569162412,1.551072659395799,1.3925828220569036,0.6249165008900651,0.46493567382810086
13,0.1,2.0,2.0,12.0,919874.9692512278,939210.8332759511,872866.9692512278,867945.8332759511,-2.102010019955491,5.110259716955252,5.645238506440356,7.063788201134463,7.587753193969124
14,0.1,2.0,2.0,13.0,585761.0325574701,565688.0325574701,565688.0325574701,529815.0325574701,3.4268240603783418,3.4268240603783418,9.550993816665507,0.0,6.341481158407844
