improve,type
5.327521492,EX-DAG2
-2.418520808,EX-DAG2
4.353262409,EX-DAG2
1.274114154,EX-DAG2
7.978538659,EX-DAG2
4.147512624,EX-DAG2
-2.454371612,EX-DAG2
-1.082241172,EX-DAG2
3.303597471,EX-DAG2
6.227885448,EX-DAG2
6.959989919,EX-DAG2
10.95705351,EX-DAG2
12.09185958,EX-DAG2
5.445917445,EX-DAG2
5.060899691,EX-DAG2
-1.789743855,EX-DAG2
0.61434073,EX-DAG2
10.18656075,EX-DAG2
-1.140486081,EX-DAG3
3.64267828,EX-DAG3
1.711325145,EX-DAG3
2.217531651,EX-DAG3
0.337073712,EX-DAG3
-0.927776923,EX-DAG3
-1.601010399,EX-DAG3
2.125569071,EX-DAG3
2.052206415,EX-DAG3
-0.061974685,EX-DAG3
3.501028918,EX-DAG3
-2.594865233,EX-DAG3
0.535830745,EX-DAG3
-0.332808443,EX-DAG3
1.643175508,EX-DAG3
-5.592266956,EX-DAG3
-0.014128443,EX-DAG3
-3.147359303,EX-DAG3
-0.168627363,EX-DAG3
-0.518225115,EX-DAG3
1.094896406,EX-DAG3
1.457404573,EX-DAG3
-1.841691189,EX-DAG3
0.619801546,EX-DAG3
0.316197257,EX-DAG3
0.433518753,EX-DAG3
-0.737656329,EX-DAG3
-1.111553204,EX-DAG3
-5.080965633,EX-DAG3
-2.055030428,EX-DAG3
0.873239342,EX-DAG3
2.364600739,EX-DAG3
2.976029323,EX-DAG3
0.873013196,EX-DAG3
0.136280852,EX-DAG3
1.053754397,EX-DAG3
-1.176486272,EX-DAG3
1.754046877,EX-DAG3
-2.024759523,EX-DAG3
0.912332356,EX-DAG3
-1.820131791,EX-DAG3
0.089663684,EX-DAG3
3.271845628,EX-DAG3
1.604050589,EX-DAG3
1.00177994,EX-DAG3
1.243224486,EX-DAG3
-1.226645076,EX-DAG3
