,dag_count,core_num,s_impro,d_impro,ds_impro
2,2.0,2.0,2.072989889922801,1.6723076422337801,-0.44275847234750054
3,2.0,3.0,0.93563658755185,0.7399831595001678,-0.2200366787178213
4,2.0,4.0,0.39094484949766933,0.37400369486305696,-0.027554288159199237
5,2.0,5.0,0.33473353818959967,0.33393803629038304,-0.0008156022209847364
6,2.0,6.0,0.0004710328632826193,0.0004710328632826193,0.0
7,2.0,7.0,0.0,0.0,0.0
8,3.0,2.0,3.373849011950377,2.572147641410359,-1.2352765058110275
9,3.0,3.0,2.4901520522049454,1.9356504112885606,-0.629796359128703
10,3.0,4.0,1.5550671014495008,1.0759693605486629,-0.5263555603033371
11,3.0,5.0,0.1301162762427182,0.19190787963391093,0.04038608596018253
12,3.0,6.0,0.12337848664969471,0.10268690935094818,-0.026004655447182886
13,3.0,7.0,0.08291856237508,0.07882400729642378,-0.005005145465015064
14,4.0,2.0,2.9797594110731485,1.7154281628439116,-1.6556890413576746
15,4.0,3.0,3.827565896428006,1.938838194530319,-2.581306804912697
16,4.0,4.0,2.1760126753524704,1.4855677452476013,-0.8046040924897645
17,4.0,5.0,1.4712741644948393,0.9743655511384118,-0.5722981293293256
18,4.0,6.0,0.5315108413864025,0.2794221657228668,-0.2725225720787825
19,4.0,7.0,0.2985235739866382,0.20675775997089268,-0.09765901290034819
20,5.0,2.0,3.1194160006334046,0.9079919886694946,-2.5669846444025697
21,5.0,3.0,3.9047295666238186,1.3564728054496238,-3.4717125274930307
22,5.0,4.0,6.261170591716226,2.103637378903505,-5.316778138572099
23,5.0,5.0,2.697901512463515,1.366111216004619,-1.4931239718843594
24,5.0,6.0,1.5143992337082488,0.8050804923336629,-0.8110260685326303
25,5.0,7.0,0.71015558022727,0.28139241498422013,-0.47173495719067354
26,6.0,2.0,2.577415806568302,0.22180756076176872,-2.5563435668239043
27,6.0,3.0,4.94540064983468,1.3446492506593795,-4.27633679100265
28,6.0,4.0,6.6487454253497615,1.334426487730357,-6.535241889427678
29,6.0,5.0,6.617746143794245,1.2367339983848848,-6.820175975544612
30,6.0,6.0,2.680627966014701,1.005823468929856,-1.9000916491020716
31,6.0,7.0,1.6351893586708566,0.639144467426961,-1.1089661682936645
32,7.0,2.0,3.1453195948149535,0.20400553366389446,-3.122437535399836
33,7.0,3.0,4.438718046964878,1.0645404063144037,-3.979761151368434
34,7.0,4.0,5.322480457085681,0.5556760073883179,-5.876399212940604
35,7.0,5.0,6.653951164530729,1.1451552685394555,-7.14624375398446
36,7.0,6.0,5.478744302510036,0.06627434433810213,-6.71530808328474
37,7.0,7.0,2.692569830965079,0.7784405869346214,-2.207763747640966
