,LP1_c1_surpass_rade,LP1_makespan,LP1_makespan_c1,LP1_makespan_c2,LP1_workload_rade,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_0,0.0,609570.0,483466.0,609570.0,96.28332456070945,0.0,609570.0,483466.0,609570.0,96.57523220898018,0.0,609570.0,483466.0,609570.0,96.57523220898018,0.0,609570.0,483466.0,609570.0,96.57523220898018,0.0,483466.0,609570.0,96.28332456070945,0.0,626050.0,483466.0,626050.0,96.19292533489948
new_1,2.3557449558701755,666046.0,495130.0,666046.0,85.93715213179276,5.875641979106232,644770.0,513646.0,644770.0,85.86208427014954,2.3557449558701755,666046.0,495130.0,666046.0,85.93715213179276,2.3557449558701755,666046.0,495130.0,666046.0,85.72988456884994,5.875641979106232,513646.0,644770.0,85.86208427014954,0.0,654746.0,483466.0,654746.0,82.74071034974658
new_2,1.7827478627284146,822326.0,641706.0,822326.0,91.04987673134526,-0.8177185141581115,852554.0,625154.0,852554.0,90.47353868983352,-0.8177185141581115,852554.0,625154.0,852554.0,90.47353868983352,0.1780199242940179,911794.0,631390.0,911794.0,92.6751133642236,1.7827478627284146,641706.0,822326.0,91.04987673134526,0.0,911794.0,630266.0,911794.0,88.16947406828412
new_3,2.0055445319627005,875406.0,563438.0,875406.0,93.88053290004008,6.907993458211799,847006.0,593110.0,847006.0,96.4509063569156,6.183542045435237,845434.0,588530.0,845434.0,95.11004208382596,6.183542045435237,846954.0,588530.0,846954.0,94.36280007157526,10.40589615523167,616266.0,847006.0,98.279553481168,0.0,875406.0,552138.0,875406.0,92.56931710414815
new_4,0.0,486498.0,486498.0,290490.0,90.142546077741,0.0,486498.0,486498.0,290490.0,90.142546077741,0.0,486498.0,486498.0,290490.0,90.142546077741,0.0,486498.0,486498.0,290490.0,90.142546077741,0.0,486498.0,290490.0,90.142546077741,0.0,486498.0,486498.0,290490.0,90.142546077741
new_5,3.354796057235493,584214.0,568738.0,584214.0,93.92395685579578,0.0,604214.0,549658.0,604214.0,93.3472689779518,0.0,604214.0,549658.0,604214.0,93.3472689779518,2.014411061077656,575514.0,560958.0,575514.0,94.24685035937851,3.354796057235493,568738.0,584214.0,93.92395685579578,0.0,604214.0,549658.0,604214.0,93.3472689779518
new_6,0.0,574058.0,574058.0,486498.0,77.84889207370264,0.0,574058.0,574058.0,486498.0,77.84889207370264,0.0,574058.0,574058.0,486498.0,77.84889207370264,0.0,574058.0,574058.0,486498.0,77.84889207370264,0.0,574058.0,486498.0,77.84889207370264,0.0,574058.0,574058.0,486498.0,77.84889207370264
new_7,0.0,677434.0,574058.0,677434.0,94.80550793663106,0.0,658982.0,574058.0,658982.0,93.95107361506332,0.0,658982.0,574058.0,658982.0,93.95107361506332,0.0,734766.0,574058.0,734766.0,94.97849379908092,0.0,574058.0,677434.0,94.80550793663106,0.0,658982.0,574058.0,658982.0,93.95107361506332
new_8,0.0,620750.0,486498.0,620750.0,92.7971321422404,0.0,644922.0,486498.0,644922.0,93.08478854169532,0.0,644922.0,486498.0,644922.0,93.08478854169532,0.0,581426.0,486498.0,581426.0,94.09722438277188,14.087879719005286,566274.0,586499.0,93.69031740706497,0.0,644922.0,486498.0,644922.0,93.08478854169532
new_9,0.0,743830.0,586498.0,743830.0,97.16592120219208,0.0,743830.0,586498.0,743830.0,97.16592120219208,0.0,743830.0,586498.0,743830.0,97.16592120219208,0.0,743830.0,586498.0,743830.0,97.16592120219208,0.0,586498.0,743830.0,97.16592120219208,0.0,743830.0,586498.0,743830.0,97.16592120219208
new_10,0.0,574058.0,574058.0,486498.0,75.76822705122385,0.0,574058.0,574058.0,486498.0,75.76822705122385,0.0,574058.0,574058.0,486498.0,75.76822705122385,0.0,574058.0,574058.0,486498.0,75.76822705122385,0.0,574058.0,486498.0,75.76822705122385,0.0,574058.0,574058.0,486498.0,75.76822705122385
new_11,1.4744457540902114,804994.0,639698.0,804994.0,95.78610510877418,0.0,815310.0,630266.0,815310.0,95.17867025365544,0.0,815310.0,630266.0,815310.0,95.17867025365544,1.4744457540902114,804994.0,639698.0,804994.0,95.78610510877418,1.4744457540902114,639698.0,804994.0,95.78610510877418,0.0,815310.0,630266.0,815310.0,95.17867025365544
new_12,4.35129429486252,694434.0,539058.0,694434.0,99.39100633173824,0.0,672614.0,515602.0,672614.0,98.8462813374708,0.0,672614.0,515602.0,672614.0,98.8462813374708,1.351532336138184,672614.0,522666.0,672614.0,99.3055753055818,7.467202670447407,557210.0,628802.0,99.43357265144132,0.0,672614.0,515602.0,672614.0,98.8462813374708
