,LP1_c1_surpass_rade,LP1_makespan,LP1_makespan_c1,LP1_makespan_c2,LP1_workload_rade,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_19,0.0,671914.0,519858.0,671914.0,97.6767478551637,0.0,671914.0,519858.0,671914.0,97.90883100741104,0.0,671914.0,519858.0,671914.0,97.90883100741104,0.0,671914.0,519858.0,671914.0,97.90883100741104,9.495788663688495,574402.0,580978.0,97.90883100741104,0.0,671914.0,519858.0,671914.0,97.90883100741104
new_20,0.0,674378.0,461202.0,674378.0,99.999923099313,0.0,674378.0,461202.0,674378.0,99.999923099313,0.0,674378.0,461202.0,674378.0,99.999923099313,0.0,674378.0,461202.0,674378.0,99.999923099313,8.021921479939213,501426.0,601427.0,99.999923099313,0.0,674378.0,461202.0,674378.0,99.999923099313
new_21,0.0,780754.0,486498.0,780754.0,96.49307456616144,0.0,760754.0,486498.0,760754.0,96.09513044877086,0.0,760754.0,486498.0,760754.0,96.09513044877086,0.0,780754.0,486498.0,780754.0,96.49307456616144,17.050356522954896,586498.0,797146.0,99.3667329012915,0.0,760754.0,486498.0,760754.0,95.92149776928518
new_22,0.0,390490.0,390490.0,290490.0,99.99984971016606,0.0,390490.0,390490.0,290490.0,99.99984971016606,0.0,390490.0,390490.0,290490.0,99.99984971016606,0.0,390490.0,390490.0,290490.0,99.99984971016606,0.0,390490.0,290490.0,99.99984971016606,0.0,390490.0,390490.0,290490.0,99.99984971016606
new_23,0.0,618718.0,290490.0,618718.0,89.96406477721705,0.0,618718.0,290490.0,618718.0,89.96406477721705,0.0,618718.0,290490.0,618718.0,89.96406477721705,0.0,618718.0,290490.0,618718.0,89.96406477721705,0.0,290490.0,618718.0,89.96406477721705,0.0,618718.0,290490.0,618718.0,89.96406477721705
new_24,0.0,899786.0,661618.0,899786.0,93.89622185506268,0.0,895258.0,661618.0,895258.0,96.76607642931192,0.0,895258.0,661618.0,895258.0,96.76607642931192,0.0,911926.0,661618.0,911926.0,95.12084729951624,0.0,661618.0,899786.0,93.89622185506268,0.0,911926.0,661618.0,911926.0,96.31946876388749
new_25,0.0,753034.0,406658.0,753034.0,93.04632722710912,0.0,758922.0,406658.0,758922.0,92.83477880379505,0.0,758922.0,406658.0,758922.0,92.83477880379505,0.0,758922.0,406658.0,758922.0,92.83477880379505,0.0,406658.0,753034.0,93.04632722710912,0.0,763094.0,406658.0,763094.0,92.72621865376765
new_26,2.345816733067729,964546.0,690250.0,964546.0,99.90896202187584,0.0,821446.0,674058.0,821446.0,98.03154180075433,0.0,821446.0,674058.0,821446.0,98.03154180075433,0.0,956099.0,674058.0,956099.0,99.3924970800054,2.345816733067729,690250.0,964546.0,99.90896202187584,0.0,821446.0,674058.0,821446.0,98.03154180075433
new_27,5.491344249088433,955827.0,665338.0,955827.0,99.99993969095232,0.0,840098.0,628802.0,840098.0,94.96941326228348,0.0,840098.0,628802.0,840098.0,94.96941326228348,5.491344249088433,955827.0,665338.0,955827.0,99.99993969095232,5.716376329607782,666926.0,944862.0,99.99993969095232,0.0,840098.0,628802.0,840098.0,94.96941326228348
new_28,2.075936108929039,958998.0,572850.0,958998.0,98.70656320550968,0.0648469149614659,965598.0,561322.0,965598.0,99.27874166201836,0.0648469149614659,965598.0,561322.0,965598.0,99.27874166201836,0.0,958998.0,560958.0,958998.0,99.00659281517692,2.075936108929039,572850.0,958998.0,98.70656320550968,0.0,997734.0,560958.0,997734.0,98.25005784090791
