,LP1_c1_surpass_rade,LP1_makespan,LP1_makespan_c1,LP1_makespan_c2,LP1_workload_rade,LP2_c1_surpass_rade,LP2_makespan,LP2_makespan_c1,LP2_makespan_c2,LP2_workload_rade,LP3_c1_surpass_rade,LP3_makespan,LP3_makespan_c1,LP3_makespan_c2,LP3_workload_rade,LP4_c1_surpass_rade,LP4_makespan,LP4_makespan_c1,LP4_makespan_c2,LP4_workload_rade,NP_c1_surpass_rade,NP_makespan_c1,NP_makespan_c2,NP_workload_rade,P_c1_surpass_rade,P_makespan,P_makespan_c1,P_makespan_c2,P_workload_rade
new_0,4.780403332017423,779390.0,602878.0,779390.0,99.9769627195043,0.0,713114.0,574058.0,713114.0,99.9998856061434,0.0,713114.0,574058.0,713114.0,99.9998856061434,0.0,841098.0,574058.0,841098.0,99.9998856061434,6.195688052106789,611974.0,713198.0,99.9998856061434,0.0,713114.0,574058.0,713114.0,99.9998856061434
new_1,0.6087531640967218,862990.0,577574.0,862990.0,99.9999015485606,0.0,817150.0,574058.0,817150.0,99.9424658225339,0.0,817150.0,574058.0,817150.0,99.9424658225339,0.6087531640967218,862850.0,577574.0,862850.0,99.9999015485606,5.048777502472783,604582.0,862990.0,99.9999015485606,0.0,817150.0,574058.0,817150.0,99.9424658225339
new_2,0.0,1001262.0,574058.0,1001262.0,97.2225752922051,0.0,1001262.0,574058.0,1001262.0,97.2225752922051,0.0,1001262.0,574058.0,1001262.0,97.2225752922051,12.201262094048335,1043394.0,653834.0,1043394.0,99.19435093112791,14.906718132524585,674622.0,1113338.0,98.6768860622722,0.0,1001262.0,574058.0,1001262.0,97.2225752922051
new_3,2.527628620012776,1042626.0,685702.0,1042626.0,95.96064378041773,0.0,968538.0,668370.0,968538.0,98.71715050870696,0.0,968538.0,668370.0,968538.0,98.71715050870696,0.0,968538.0,668370.0,968538.0,98.7802285752786,2.527628620012776,685702.0,1042626.0,95.96064378041773,0.0,968538.0,668370.0,968538.0,98.71715050870696
new_4,3.917804462379282,731074.0,510490.0,731074.0,96.8019220528144,0.0,728146.0,490490.0,728146.0,97.48445879200406,0.0,728146.0,490490.0,728146.0,97.48445879200406,0.0,731074.0,490490.0,731074.0,97.48136679808984,3.917804462379282,510490.0,731074.0,96.8019220528144,0.0,749590.0,490490.0,749590.0,96.85762765400833
new_5,2.1875356787525893,613110.0,613110.0,581866.0,99.98411463836077,0.0,700530.0,599698.0,700530.0,99.90787312054697,0.0,700530.0,599698.0,700530.0,99.90787312054697,2.1875356787525893,613110.0,613110.0,598050.0,99.99664909601069,2.1875356787525893,613110.0,577210.0,99.98411463836077,0.0,700530.0,599698.0,700530.0,99.90787312054697
new_6,0.0,550938.0,483466.0,550938.0,90.6023801023546,0.0,550938.0,483466.0,550938.0,90.6023801023546,0.0,550938.0,483466.0,550938.0,90.6023801023546,0.0,550938.0,483466.0,550938.0,90.6023801023546,0.0,483466.0,550938.0,90.6023801023546,0.0,550938.0,483466.0,550938.0,90.6023801023546
new_7,4.421599552066995,851447.0,575086.0,851447.0,99.99990877010406,0.0,870234.0,549658.0,870234.0,99.64563126523991,0.0,870234.0,549658.0,870234.0,99.64563126523991,4.30778444364748,846738.0,574402.0,846738.0,99.99990877010406,5.523604574815141,581794.0,851447.0,99.99990877010406,0.0,870234.0,549658.0,870234.0,99.64563126523991
new_8,3.935404996500765,921878.0,688722.0,921878.0,99.99990511418171,0.0,865870.0,661618.0,865870.0,99.99990511418171,0.0,865870.0,661618.0,865870.0,99.99990511418171,3.935404996500765,921878.0,688722.0,921878.0,99.99990511418171,5.70110801034181,701618.0,921878.0,99.99990511418171,0.0,865870.0,661618.0,865870.0,99.99990511418171
new_9,2.96147979641792,684458.0,381566.0,684458.0,95.48906041852072,0.0,684458.0,370266.0,684458.0,95.33700577979184,0.0,684458.0,370266.0,684458.0,95.33700577979184,0.0,681666.0,370266.0,681666.0,95.81819017995691,2.96147979641792,381566.0,684458.0,95.48906041852072,0.0,684458.0,370266.0,684458.0,95.33700577979184
new_10,0.0,806194.0,535826.0,806194.0,91.57696863546404,12.823074244844967,802205.0,614642.0,802205.0,91.96995112194972,3.83769135514438,764994.0,557210.0,764994.0,92.19895708885292,0.0,890814.0,535826.0,890814.0,95.22650134441014,8.639756657311704,586498.0,803507.0,92.17131547261366,0.0,808702.0,535826.0,808702.0,90.82010010560536
new_11,2.9090217701302405,1112347.0,694254.0,1112347.0,92.63101494918796,0.0,1160614.0,674058.0,1160614.0,92.43110053249296,0.0,1160614.0,674058.0,1160614.0,92.43110053249296,4.239250573236463,1140290.0,703898.0,1140290.0,97.3520997608492,2.9090217701302405,694254.0,1112347.0,92.63101494918796,0.0,1134379.0,674058.0,1134379.0,92.40319788036784
new_12,0.0,898330.0,574058.0,898330.0,96.66515315826356,5.314393726970136,932506.0,606278.0,932506.0,99.24426579690908,10.676085704949664,898330.0,642670.0,898330.0,99.8673567421824,10.676085704949664,898330.0,642670.0,898330.0,99.8673567421824,12.992248907966014,659778.0,884270.0,99.99991466048331,0.0,898330.0,574058.0,898330.0,96.66515315826356
new_13,2.014411061077656,981162.0,560958.0,981162.0,99.62669673644224,4.010324437412464,987618.0,572622.0,987618.0,99.44289845732028,4.010324437412464,987618.0,572622.0,987618.0,99.44289845732028,2.505915365049859,987618.0,563786.0,987618.0,99.77920752964592,7.763432127023335,595922.0,945434.0,99.75977374669276,0.0,962366.0,549658.0,962366.0,99.4568929475017
new_14,0.0,959094.0,555826.0,959094.0,93.05320477538788,9.106578099601972,1011454.0,611514.0,1011454.0,98.40432685220824,5.556895995106451,988018.0,588530.0,988018.0,96.2438573473472,5.556895995106451,979319.0,588530.0,979319.0,97.76864352277975,11.056739881137164,624922.0,1019966.0,97.73166673398596,0.0,959094.0,555826.0,959094.0,93.05320477538788
new_15,0.0,820242.0,574058.0,820242.0,98.82799279345382,0.0,820242.0,574058.0,820242.0,98.82799279345382,0.0,820242.0,574058.0,820242.0,98.82799279345382,12.201262094048335,839130.0,653834.0,839130.0,99.58081282588392,16.058910747760578,683882.0,722466.0,99.999903327562,0.0,820242.0,574058.0,820242.0,98.82799279345382
new_16,4.987801931167804,907394.0,604194.0,907394.0,99.99991643490648,0.0,887762.0,574058.0,887762.0,99.99357349228129,0.0,887762.0,574058.0,887762.0,99.99357349228129,0.6905976991609722,857490.0,578050.0,857490.0,99.99991643490648,5.3737031408141,606658.0,907395.0,99.99991643490648,0.0,887762.0,574058.0,887762.0,99.99357349228129
new_17,5.01623414936766,853926.0,593194.0,853926.0,95.6480100497499,4.263503984503764,853927.0,588530.0,853927.0,96.12254334459,4.263503984503764,853927.0,588530.0,853927.0,96.12254334459,4.263503984503764,862850.0,588530.0,862850.0,96.31402414458664,7.033557401339128,606066.0,871466.0,95.5437940447394,0.0,862850.0,563438.0,862850.0,95.75195698973964
new_18,2.8422503145407703,682506.0,500730.0,682506.0,99.99988820332683,6.211467502573653,696250.0,518718.0,696250.0,99.9657663315147,6.211467502573653,696250.0,518718.0,696250.0,99.9657663315147,3.712954569744566,709430.0,505258.0,709430.0,99.99988820332683,17.050356522954896,586498.0,686498.0,99.99988820332683,0.0,682506.0,486498.0,682506.0,99.99988820332683
